,TEAM,GP,W,L,win%,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,#ERROR!
12,Atlanta Hawks,82,47,35,,3941,8046,2956,6451,,597,1633,,1537,2085,,870,2412,3282,1657,1048,603,376,354,1610,1681,129
10,Atlanta Hawks,11,4,7,,528,924,331,810,,67,193,,195,262,,118,266,384,186,133,76,37,60,235,232,-78
3,Boston Celtics,82,62,20,,3976,8275,3075,6333,,538,1355,,1587,2075,,869,2586,3455,1862,1280,621,387,389,1897,1820,616
6,Boston Celtics,14,7,7,,707,1430,524,1177,,94,261,,288,364,,152,453,605,321,191,109,69,91,340,318,0
19,Charlotte Bobcats,82,35,47,,3986,7677,2866,6299,,490,1339,,1455,1965,,886,2366,3252,1741,1279,580,397,488,1754,1714,-104
15,Chicago Bulls,82,41,41,,3986,8378,3126,6846,,493,1293,,1633,2052,,970,2481,3451,1732,1192,615,453,449,1709,1708,-23
8,Chicago Bulls,7,3,4,,371,758,269,610,,51,135,,169,209,,73,246,319,139,113,47,57,47,172,165,-30
1,Cleveland Cavaliers,82,66,16,,3956,8223,3022,6454,,656,1670,,1523,2012,,886,2574,3460,1663,1045,593,435,338,1663,1664,732
1,Cleveland Cavaliers,14,10,4,,677,1366,487,1052,,93,277,,299,403,,141,423,564,268,173,93,64,46,288,317,119
9,Dallas Mavericks,82,50,32,,3961,8343,3128,6770,,571,1632,,1516,1852,,909,2595,3504,1779,1043,591,429,334,1600,1645,162
6,Dallas Mavericks,10,5,5,,480,1016,356,757,,73,206,,231,284,,92,315,407,181,130,65,38,41,228,237,-9
5,Denver Nuggets,82,54,28,,3946,8555,3058,6510,,548,1477,,1891,2487,,905,2507,3412,1820,1257,710,492,447,1874,1944,280
3,Denver Nuggets,16,10,6,,768,1727,596,1255,,129,337,,406,535,,171,473,644,362,194,147,83,71,413,408,138
17,Detroit Pistons,82,39,43,,3981,7727,2981,6559,,377,1079,,1388,1849,,949,2448,3397,1689,973,493,377,342,1712,1612,-40
16,Detroit Pistons,4,0,4,,192,312,126,308,,12,49,,48,58,,30,104,134,66,45,17,12,18,95,63,-62
24,Golden State Warriors,82,29,53,,3976,8905,3231,7055,,550,1475,,1893,2392,,953,2492,3445,1711,1201,638,527,414,1842,1927,-307
8,Houston Rockets,82,53,29,,3961,8070,2959,6526,,621,1656,,1531,1903,,862,2662,3524,1662,1158,548,355,435,1553,1689,328
5,Houston Rockets,13,7,6,,624,1189,442,989,,86,262,,219,285,,126,401,527,221,185,80,41,92,261,278,-19
18,Indiana Pacers,82,36,46,,3966,8617,3220,7080,,652,1725,,1525,1890,,924,2661,3585,1775,1189,573,434,444,1895,1692,-91
28,Los Angeles Clippers,82,19,63,,3976,7799,2955,6696,,535,1513,,1354,1839,,890,2377,3267,1723,1221,572,482,414,1650,1609,-719
2,Los Angeles Lakers,82,65,17,,3956,8768,3307,6981,,547,1516,,1607,2087,,1015,2587,3602,1908,1103,718,420,392,1698,1816,628
2,Los Angeles Lakers,23,16,7,,1114,2355,861,1852,,160,424,,473,633,,256,711,967,446,300,181,144,99,540,532,166
25,Memphis Grizzlies,82,24,58,,3961,7698,2865,6311,,398,1106,,1570,2077,,847,2337,3184,1423,1252,615,385,443,1777,1786,-448
14,Miami Heat,82,43,39,,3991,8061,3034,6646,,582,1631,,1411,1871,,828,2411,3239,1671,1026,651,451,335,1696,1632,21
8,Miami Heat,7,3,4,,336,617,219,487,,50,140,,129,158,,62,209,271,105,94,43,40,25,155,149,6
20,Milwaukee Bucks,82,34,48,,3956,8142,3009,6755,,511,1408,,1613,2067,,973,2367,3340,1802,1154,609,308,376,1986,1842,-89
25,Minnesota Timberwolves,82,24,58,,3961,8019,2986,6766,,543,1539,,1504,1957,,975,2442,3417,1674,1165,512,322,484,1785,1642,-403
20,New Jersey Nets,82,34,48,,3966,8044,2925,6536,,652,1735,,1542,1980,,850,2415,3265,1636,1075,559,391,393,1838,1680,-200
10,New Orleans Hornets,82,49,33,,3951,7857,2911,6366,,556,1526,,1479,1833,,802,2453,3255,1609,1029,593,338,290,1665,1675,127
13,New Orleans Hornets,5,1,4,,240,421,139,351,,30,92,,113,140,,46,139,185,79,92,33,13,26,124,124,-121
23,New York Knicks,82,32,50,,3961,8627,3157,7091,,823,2284,,1490,1900,,911,2545,3456,1738,1174,610,204,437,1672,1592,-214
27,Oklahoma City Thunder,82,23,59,,3961,7952,2999,6716,,328,949,,1626,2069,,999,2497,3496,1663,1330,608,371,407,1655,1656,-500
4,Orlando Magic,82,59,23,,3946,8286,2929,6416,,817,2147,,1611,2253,,819,2728,3547,1593,1142,570,439,308,1664,1840,549
4,Orlando Magic,24,13,11,,1167,2327,828,1810,,201,559,,470,651,,200,721,921,453,316,162,116,92,513,582,44
15,Philadelphia 76ers,82,41,41,,3951,7987,2997,6532,,341,1072,,1652,2216,,1039,2336,3375,1647,1157,658,415,400,1650,1786,6
11,Philadelphia 76ers,6,2,4,,288,531,204,450,,35,95,,88,124,,48,173,221,107,88,37,18,30,138,121,-46
13,Phoenix Suns,82,46,36,,3951,8974,3373,6695,,553,1445,,1675,2251,,900,2520,3420,1905,1288,589,420,369,1691,1877,158
5,Portland Trail Blazers,82,54,28,,3966,8153,3018,6494,,596,1555,,1521,1988,,1060,2360,3420,1667,1055,550,402,319,1671,1733,438
11,Portland Trail Blazers,6,2,4,,288,523,200,447,,33,85,,90,118,,59,159,218,88,68,36,45,20,130,120,-32
30,Sacramento Kings,82,17,65,,3981,8248,2990,6685,,586,1594,,1682,2107,,840,2366,3206,1619,1266,569,349,423,1910,1737,-718
5,San Antonio Spurs,82,54,28,,3981,7958,3042,6534,,625,1620,,1249,1641,,728,2638,3366,1736,963,474,329,352,1546,1511,308
13,San Antonio Spurs,5,1,4,,240,452,175,383,,29,88,,73,103,,44,144,188,80,55,28,15,23,110,93,-30
