,TEAM,GP,W,L,win%,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,#ERROR!
9,Atlanta Hawks,7,3,4,,336,610,205,499,,28,87,,172,220,,81,187,268,122,111,30,40,40,141,175,-84
19,Atlanta Hawks,82,37,45,,3971,8054,2975,6552,,384,1078,,1720,2227,,1008,2454,3462,1804,1223,600,448,421,1673,1793,-149
2,Boston Celtics,26,16,10,,1248,2444,873,1953,,157,437,,541,691,,288,752,1040,559,333,198,112,129,631,593,136
1,Boston Celtics,82,66,16,,3951,8245,2986,6286,,596,1564,,1677,2176,,830,2615,3445,1833,1246,696,379,389,1864,1818,841
23,Charlotte Bobcats,82,32,50,,3976,7959,2960,6554,,529,1443,,1510,2115,,892,2440,3332,1748,1204,614,402,476,1777,1721,-359
22,Chicago Bulls,82,33,49,,3961,7981,2987,6861,,474,1305,,1533,2029,,1050,2478,3528,1811,1197,635,429,465,1784,1746,-253
5,Cleveland Cavaliers,13,7,6,,624,1169,404,963,,87,252,,274,380,,153,379,532,262,180,78,63,55,287,305,28
13,Cleveland Cavaliers,82,45,37,,3971,7903,2937,6697,,552,1544,,1477,2061,,1092,2563,3655,1640,1145,579,427,388,1712,1666,-29
13,Dallas Mavericks,5,1,4,,240,470,158,394,,36,104,,118,150,,72,154,226,97,58,20,20,28,103,112,-44
10,Dallas Mavericks,82,51,31,,3946,8234,3025,6515,,494,1403,,1690,2075,,883,2643,3526,1720,1037,490,402,357,1786,1739,372
16,Denver Nuggets,4,0,4,,192,406,151,354,,18,72,,86,116,,66,129,195,74,58,25,19,25,102,90,-53
11,Denver Nuggets,82,50,32,,3971,9074,3307,7038,,569,1605,,1891,2519,,918,2698,3616,2024,1203,752,551,393,1731,1950,304
3,Detroit Pistons,17,10,7,,816,1554,576,1266,,77,226,,325,405,,180,436,616,349,220,125,99,67,396,370,39
2,Detroit Pistons,82,59,23,,3946,7992,2999,6551,,487,1330,,1507,1965,,974,2423,3397,1831,956,583,472,319,1688,1618,606
12,Golden State Warriors,82,48,34,,3956,9105,3403,7406,,761,2185,,1538,2044,,1045,2496,3541,1833,1082,744,377,413,1875,1736,181
10,Houston Rockets,6,2,4,,288,528,193,472,,35,120,,107,157,,78,174,252,93,65,41,33,37,127,131,-15
6,Houston Rockets,82,55,27,,3946,7931,3003,6698,,583,1707,,1342,1848,,1002,2659,3661,1757,1125,598,420,379,1609,1615,384
20,Indiana Pacers,82,36,46,,3951,8527,3102,6993,,755,2021,,1568,2042,,904,2633,3537,1864,1236,623,412,416,1921,1782,-115
25,Los Angeles Clippers,82,23,59,,3961,7692,2820,6445,,350,1079,,1702,2178,,800,2491,3291,1732,1180,557,398,388,1745,1773,-596
1,Los Angeles Lakers,21,14,7,,1013,2151,772,1651,,146,398,,461,612,,185,646,831,436,279,151,111,92,489,525,46
3,Los Angeles Lakers,82,57,25,,3956,8904,3248,6818,,662,1751,,1746,2270,,898,2722,3620,2003,1156,654,438,368,1691,1850,595
27,Memphis Grizzlies,82,22,60,,3961,8257,3060,6737,,620,1779,,1517,2097,,848,2567,3415,1574,1251,503,386,403,1592,1842,-509
30,Miami Heat,82,15,67,,3966,7491,2808,6336,,491,1373,,1384,1903,,743,2342,3085,1644,1202,589,355,341,1670,1650,-709
24,Milwaukee Bucks,82,26,56,,3971,7956,3026,6745,,452,1313,,1452,1980,,1055,2363,3418,1760,1210,544,361,404,1748,1727,-565
27,Minnesota Timberwolves,82,22,60,,3946,7839,3076,6817,,441,1259,,1246,1693,,964,2428,3392,1630,1188,616,306,467,1885,1434,-556
21,New Jersey Nets,82,34,48,,3966,7857,2856,6450,,498,1430,,1647,2237,,913,2520,3433,1925,1229,521,390,362,1855,1836,-415
4,New Orleans Hornets,12,7,5,,576,1159,451,972,,69,168,,188,243,,123,382,505,231,106,87,61,48,248,248,44
4,New Orleans Hornets,82,56,26,,3961,8270,3164,6796,,630,1621,,1312,1707,,937,2494,3431,1785,974,637,321,331,1531,1573,433
25,New York Knicks,82,23,59,,3976,7948,2967,6757,,490,1454,,1524,2095,,1029,2457,3486,1530,1187,521,213,429,1761,1665,-542
7,Orlando Magic,10,5,5,,480,971,354,754,,90,253,,173,243,,117,312,429,174,145,48,49,34,205,220,16
9,Orlando Magic,82,52,30,,3956,8567,3058,6446,,801,2074,,1650,2288,,768,2677,3445,1706,1173,520,333,344,1688,1898,448
10,Philadelphia 76ers,6,2,4,,288,515,187,448,,11,47,,130,180,,81,148,229,95,89,53,22,41,115,142,-42
17,Philadelphia 76ers,82,40,42,,3951,7923,3056,6648,,302,952,,1509,2137,,1067,2370,3437,1673,1172,712,400,420,1620,1708,34
13,Phoenix Suns,5,1,4,,250,502,190,412,,25,74,,97,152,,47,161,208,94,62,26,35,25,113,138,-10
6,Phoenix Suns,82,55,27,,3956,9026,3392,6782,,694,1764,,1548,1977,,720,2683,3403,2188,1184,532,518,311,1633,1731,414
15,Portland Trail Blazers,82,41,41,,3981,7820,2935,6546,,538,1426,,1412,1841,,901,2438,3339,1733,1056,455,360,301,1642,1656,-80
18,Sacramento Kings,82,38,44,,3966,8408,3043,6558,,510,1367,,1812,2272,,829,2456,3285,1567,1317,651,334,452,1839,1892,-185
6,San Antonio Spurs,17,9,8,,826,1599,604,1355,,128,341,,263,353,,153,557,710,346,217,90,70,90,383,345,-15
4,San Antonio Spurs,82,56,26,,3946,7820,2938,6424,,594,1610,,1350,1774,,771,2612,3383,1718,1035,521,337,361,1537,1625,393
29,Seattle SuperSonics,82,20,62,,3966,7999,3125,7032,,313,939,,1436,1866,,971,2688,3659,1748,1310,531,400,440,1680,1610,-718
13,Toronto Raptors,5,1,4,,240,497,186,428,,42,120,,83,96,,49,147,196,120,50,36,12,26,114,90,-23
15,Toronto Raptors,82,41,41,,3966,8215,3148,6726,,572,1459,,1347,1658,,790,2496,3286,1953,959,570,336,333,1596,1508,238
7,Utah Jazz,12,6,6,,581,1187,437,982,,70,200,,243,324,,174,358,532,257,155,78,69,78,306,274,-3
8,Utah Jazz,82,54,28,,3941,8710,3279,6592,,407,1095,,1745,2298,,942,2410,3352,2165,1200,717,355,420,1970,1891,564
10,Washington Wizards,6,2,4,,288,553,192,451,,36,118,,133,174,,58,166,224,94,74,43,29,29,137,139,-20
14,Washington Wizards,82,43,39,,3981,8104,2986,6695,,575,1614,,1557,1991,,1007,2404,3411,1607,1082,632,391,360,1606,1656,-27
