,TEAM,GP,W,L,win%,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,#ERROR!
12,Atlanta Hawks,4,1,3,,192,350,131,292,,27,72,,61,89,,44,116,160,68,51,31,19,11,94,0,6
10,Atlanta Hawks,82,50,32,,3976,7860,2887,6352,,337,1016,,1749,2314,,1106,2416,3522,1569,1214,648,491,372,1671,13,288
20,Boston Celtics,82,36,46,,3946,7864,3012,6934,,415,1249,,1425,1964,,1196,2044,3240,1816,1330,987,366,406,2203,15,-215
5,Charlotte Hornets,9,4,5,,432,745,298,656,,32,100,,117,171,,82,243,325,191,127,58,25,40,194,3,-54
9,Charlotte Hornets,82,51,31,,3956,7923,2968,6344,,346,904,,1641,2186,,985,2341,3326,1941,1247,691,312,372,1757,25,164
1,Chicago Bulls,21,15,6,,1018,1956,717,1611,,88,272,,434,591,,294,566,860,431,264,188,95,65,478,5,147
1,Chicago Bulls,82,62,20,,3971,7931,3064,6801,,311,962,,1492,2009,,1243,2438,3681,1952,1178,695,353,356,1691,13,583
12,Cleveland Cavaliers,4,1,3,,192,323,107,246,,7,24,,102,141,,40,98,138,74,73,34,12,31,95,1,-32
11,Cleveland Cavaliers,82,47,35,,3966,7585,2817,6207,,298,801,,1653,2187,,955,2331,3286,1894,1422,814,419,455,1939,11,224
24,Dallas Mavericks,82,20,62,,3981,7494,2882,6753,,422,1183,,1308,1738,,1008,2280,3288,1535,1183,646,466,374,1643,13,-501
29,Denver Nuggets,82,11,71,,3946,7300,2677,6411,,288,893,,1658,2147,,1040,2157,3197,1547,1312,664,393,535,1937,16,-966
19,Detroit Pistons,82,37,45,,3991,7721,2862,6373,,293,938,,1704,2288,,1044,2338,3382,1597,1198,678,344,382,1805,13,129
25,Golden State Warriors,82,19,63,,3966,7237,2845,6883,,189,696,,1358,1912,,1288,2473,3761,1708,1369,621,448,478,1859,8,-748
7,Houston Rockets,5,2,3,,240,423,145,377,,24,93,,109,149,,56,156,212,81,65,36,25,29,119,1,-34
17,Houston Rockets,82,41,41,,3966,8099,2946,6513,,573,1670,,1634,2120,,987,2350,3337,1799,1298,686,294,365,1653,14,-62
3,Indiana Pacers,16,10,6,,773,1468,512,1113,,87,232,,357,470,,148,416,564,306,234,115,79,58,397,3,36
5,Indiana Pacers,82,58,24,,3966,7874,2921,6223,,401,1029,,1631,2136,,874,2348,3222,1889,1168,645,368,366,1858,10,499
27,Los Angeles Clippers,82,17,65,,3956,7865,2930,6690,,525,1468,,1480,2047,,1040,2276,3316,1533,1323,625,456,412,1827,9,-604
