,TEAM,GP,W,L,win%,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,#ERROR!
27,Atlanta Hawks,82,30,52,,3976,7680,2831,6372,,341,1038,,1677,2203,,976,2312,3288,1573,1306,609,446,421,1970,1853,-390
29,Boston Celtics,82,24,58,,3971,7857,2858,6454,,471,1283,,1670,2178,,918,2391,3309,1630,1350,589,382,449,1971,1757,-280
21,Charlotte Bobcats,82,33,49,,4001,7945,2960,6643,,457,1280,,1568,2136,,920,2346,3266,1836,1224,638,369,437,1985,1786,-307
8,Chicago Bulls,82,49,33,,3956,8100,3046,6663,,480,1237,,1528,2083,,984,2597,3581,1832,1310,639,445,433,1908,1900,411
3,Chicago Bulls,10,6,4,,480,924,325,756,,59,166,,215,295,,116,303,419,206,153,70,42,44,221,255,11
7,Cleveland Cavaliers,82,50,32,,3976,7934,2978,6658,,494,1404,,1484,2133,,1039,2529,3568,1708,1177,625,353,349,1781,1804,314
3,Cleveland Cavaliers,20,12,8,,970,1776,642,1526,,108,331,,384,521,,238,628,866,350,260,144,69,76,414,419,43
1,Dallas Mavericks,82,67,15,,3951,8201,3010,6442,,535,1404,,1646,2045,,920,2515,3435,1632,1140,560,408,312,1837,1811,592
10,Dallas Mavericks,6,2,4,,288,591,205,485,,42,133,,139,180,,84,182,266,107,98,50,30,26,143,149,-40
10,Denver Nuggets,82,45,37,,3956,8639,3164,6805,,484,1440,,1827,2449,,1001,2558,3559,1920,1352,678,435,424,1756,1946,133
12,Denver Nuggets,5,1,4,,240,441,168,397,,23,72,,82,105,,65,152,217,88,76,28,21,26,90,89,-30
4,Detroit Pistons,82,53,29,,3976,7872,2942,6484,,449,1305,,1539,1988,,948,2374,3322,1768,1001,583,472,290,1672,1668,341
2,Detroit Pistons,16,10,6,,778,1462,523,1216,,93,266,,323,421,,189,460,649,322,213,113,75,59,382,357,47
