,TEAM,GP,W,L,win%,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,#ERROR!
12,Golden State Warriors,82,42,40,,3951,8737,3261,7048,,700,1966,,1515,2113,,941,2455,3396,1950,1309,750,466,399,1933,1832,-28
8,Golden State Warriors,11,5,6,,533,1173,402,893,,122,341,,247,336,,126,295,421,189,164,113,60,54,293,276,19
5,Houston Rockets,82,52,30,,3971,7953,2906,6528,,705,1893,,1436,1906,,880,2673,3553,1704,1162,583,337,353,1710,1631,398
9,Houston Rockets,7,3,4,,336,611,208,507,,50,156,,145,184,,69,222,291,127,104,49,29,34,135,160,-22
19,Indiana Pacers,82,35,47,,3956,7840,2872,6561,,481,1389,,1615,2125,,990,2441,3431,1680,1335,599,447,410,1912,1942,-200
16,Los Angeles Clippers,82,40,42,,3946,7843,2880,6318,,314,903,,1769,2245,,888,2484,3372,1762,1239,596,472,321,1858,1829,-38
12,Los Angeles Lakers,82,42,40,,4006,8474,3103,6664,,608,1724,,1660,2221,,886,2495,3381,1850,1273,600,421,409,1889,1916,-6
12,Los Angeles Lakers,5,1,4,,240,490,190,430,,32,99,,78,108,,71,146,217,72,76,29,20,20,115,93,-52
30,Memphis Grizzlies,82,22,60,,3996,8331,2998,6448,,500,1362,,1835,2410,,866,2375,3241,1680,1343,564,407,450,1827,1992,-422
11,Miami Heat,82,44,38,,3971,7759,2919,6288,,528,1539,,1393,2019,,817,2526,3343,1681,1201,566,442,314,1749,1790,-75
14,Miami Heat,4,0,4,,192,355,133,299,,22,68,,67,109,,32,113,145,71,59,25,21,17,101,94,-44
28,Milwaukee Bucks,82,28,54,,3971,8172,3121,6714,,524,1472,,1406,1919,,941,2272,3213,1771,1240,587,224,433,1821,1718,-359
24,Minnesota Timberwolves,82,32,50,,4001,7877,2997,6502,,384,1089,,1499,1892,,819,2473,3292,1848,1278,532,325,360,1758,1679,-301
14,New Jersey Nets,82,41,41,,3976,8001,2913,6379,,609,1676,,1566,2153,,822,2525,3347,1962,1212,499,273,369,1869,1886,-63
7,New Jersey Nets,12,6,6,,576,1082,391,880,,92,250,,208,280,,103,375,478,276,193,76,35,48,254,257,22
18,New Orleans/Oklahoma City Hornets,82,39,43,,3976,7833,2971,6674,,455,1256,,1436,1941,,1025,2512,3537,1537,1187,522,347,392,1620,1733,-129
21,New York Knicks,82,33,49,,4001,7994,2903,6356,,474,1370,,1714,2396,,1032,2516,3548,1532,1405,543,260,406,1932,1875,-234
16,Orlando Magic,82,40,42,,3956,7771,2875,6090,,342,962,,1679,2393,,920,2418,3338,1525,1392,565,416,376,1904,1921,64
14,Orlando Magic,4,0,4,,192,352,138,289,,10,29,,66,114,,45,116,161,72,59,17,14,17,97,92,-36
19,Philadelphia 76ers,82,35,47,,3976,7785,2932,6408,,284,823,,1637,2135,,899,2353,3252,1669,1258,590,390,320,1671,1801,-248
2,Phoenix Suns,82,61,21,,3981,9037,3388,6855,,785,1965,,1476,1827,,737,2583,3320,2122,1189,553,394,304,1659,1759,599
5,Phoenix Suns,11,6,5,,528,1145,429,900,,78,206,,209,268,,101,343,444,257,152,70,57,58,216,248,55
24,Portland Trail Blazers,82,32,50,,3991,7717,2874,6392,,426,1232,,1543,2006,,923,2299,3222,1513,1236,555,380,380,1931,1750,-352
21,Sacramento Kings,82,33,49,,3961,8303,2941,6532,,530,1513,,1891,2473,,797,2396,3193,1665,1194,671,265,405,1792,1990,-148
3,San Antonio Spurs,82,58,24,,3956,8079,2999,6328,,595,1561,,1486,1980,,761,2577,3338,1814,1137,587,417,337,1588,1739,691
1,San Antonio Spurs,20,16,4,,960,1913,705,1535,,151,393,,352,486,,210,602,812,397,278,142,110,92,410,415,79
26,Seattle SuperSonics,82,31,51,,3966,8130,3047,6628,,525,1451,,1511,1911,,928,2322,3250,1695,1268,631,301,341,1801,1635,-237
9,Toronto Raptors,82,47,35,,3951,8157,3032,6547,,531,1464,,1562,1983,,755,2480,3235,1822,1104,581,321,317,1672,1786,81
10,Toronto Raptors,6,2,4,,288,545,195,441,,32,87,,123,153,,44,183,227,97,88,46,24,21,128,128,-32
6,Utah Jazz,82,51,31,,3961,8322,3069,6471,,354,1056,,1830,2462,,1030,2456,3486,2024,1277,577,339,438,2067,2010,235
6,Utah Jazz,17,9,8,,821,1664,619,1350,,73,214,,353,471,,221,530,751,377,272,125,81,94,419,395,15
14,Washington Wizards,82,41,41,,3966,8556,3070,6820,,561,1614,,1855,2425,,998,2379,3377,1660,1133,635,375,380,1823,1927,-42
14,Washington Wizards,4,0,4,,192,366,137,332,,25,82,,67,87,,41,105,146,75,35,22,12,14,85,76,-35
