,TEAM,GP,W,L,win%,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,#ERROR!
1,Golden State Warriors,21,16,5,,1013,2319,866,1806,,235,659,,352,428,,192,753,945,547,270,165,122,76,414,408,210
2,Houston Rockets,17,11,6,,816,1784,632,1450,,228,676,,292,378,,149,582,731,320,205,138,93,74,325,332,31
3,Boston Celtics,19,11,8,,922,1926,692,1582,,199,581,,343,447,,168,624,792,403,221,130,77,106,388,406,13
4,New Orleans Pelicans,9,5,4,,432,990,386,808,,89,243,,129,165,,71,339,410,242,130,73,45,44,174,171,-7
5,Cleveland Cavaliers,22,12,10,,1066,2225,811,1801,,221,667,,382,508,,215,695,910,423,279,131,97,96,430,481,-38
6,Philadelphia 76ers,10,5,5,,485,1088,387,885,,99,293,,215,283,,134,361,495,258,146,78,41,59,228,255,39
7,Utah Jazz,11,5,6,,528,1126,415,912,,118,329,,178,259,,103,392,495,223,171,83,55,61,226,230,-24
8,Indiana Pacers,7,3,4,,336,704,270,561,,68,190,,96,135,,57,223,280,148,92,57,19,25,153,142,40
8,Milwaukee Bucks,7,3,4,,341,713,274,548,,67,180,,98,139,,39,231,270,154,92,46,47,29,160,136,-4
10,Toronto Raptors,10,4,6,,485,1073,389,823,,104,267,,191,239,,94,307,401,218,140,57,61,48,226,203,-44
11,Oklahoma City Thunder,6,2,4,,288,607,223,519,,63,173,,98,127,,56,208,264,98,84,53,25,33,130,124,-26
11,Washington Wizards,6,2,4,,288,643,238,511,,48,131,,119,140,,51,189,240,140,81,47,31,37,126,128,-12
13,Miami Heat,5,1,4,,240,517,183,414,,54,138,,97,143,,48,157,205,119,80,44,32,21,146,120,-54
13,Minnesota Timberwolves,5,1,4,,240,508,190,413,,45,109,,83,114,,43,183,226,112,63,25,16,31,91,88,-44
13,San Antonio Spurs,5,1,4,,240,484,173,419,,42,141,,96,115,,42,146,188,95,55,38,15,25,102,99,-44
16,Portland Trail Blazers,4,0,4,,192,422,165,364,,43,129,,49,63,,45,129,174,76,58,33,15,26,82,78,-36
1,Houston Rockets,82,65,17,,3951,9213,3174,6906,,1256,3470,,1609,2061,,739,2825,3564,1767,1135,699,392,363,1597,1670,695
2,Toronto Raptors,82,59,23,,3966,9156,3383,7169,,968,2705,,1422,1790,,800,2807,3607,1995,1095,626,500,401,1783,1633,638
3,Golden State Warriors,82,58,24,,3946,9304,3509,6979,,926,2369,,1360,1668,,691,2877,3568,2402,1265,656,612,300,1607,1516,490
4,Boston Celtics,82,55,27,,3961,8529,3141,6975,,939,2492,,1308,1697,,767,2878,3645,1842,1148,604,373,364,1618,1571,294
5,Philadelphia 76ers,82,52,30,,3956,9004,3349,7098,,901,2445,,1405,1868,,893,2996,3889,2221,1353,682,420,417,1811,1670,369
6,Cleveland Cavaliers,82,50,32,,3946,9091,3311,6950,,981,2636,,1488,1909,,694,2761,3455,1916,1126,582,312,340,1524,1696,77
7,Portland Trail Blazers,82,49,33,,3951,8661,3222,7132,,845,2308,,1372,1715,,835,2893,3728,1599,1109,573,423,418,1599,1564,213
8,Indiana Pacers,82,48,34,,3951,8656,3345,7083,,741,2010,,1225,1573,,788,2684,3472,1819,1088,721,340,428,1544,1514,113
8,New Orleans Pelicans,82,48,34,,3991,9161,3500,7241,,837,2312,,1324,1716,,712,2923,3635,2195,1223,657,485,344,1570,1669,107
8,Oklahoma City Thunder,82,48,34,,3966,8844,3271,7221,,881,2491,,1421,1985,,1024,2671,3695,1750,1147,743,412,377,1653,1750,280
8,Utah Jazz,82,48,34,,3951,8540,3139,6797,,887,2425,,1375,1766,,740,2807,3547,1839,1205,708,420,380,1608,1683,353
12,Minnesota Timberwolves,82,47,35,,3961,8980,3365,7063,,658,1845,,1592,1980,,848,2593,3441,1861,1021,689,345,382,1495,1710,183
12,San Antonio Spurs,82,47,35,,3946,8424,3202,6999,,696,1977,,1324,1715,,849,2777,3626,1868,1078,628,460,318,1408,1619,237
14,Denver Nuggets,82,46,36,,3976,9020,3338,7102,,940,2536,,1404,1830,,902,2748,3650,2059,1226,627,404,391,1533,1699,121
15,Miami Heat,82,44,38,,3986,8480,3184,6997,,903,2506,,1209,1601,,763,2801,3564,1862,1178,620,437,378,1648,1587,39
15,Milwaukee Bucks,82,44,38,,3966,8731,3257,6807,,718,2024,,1499,1915,,688,2579,3267,1905,1135,722,443,366,1752,1633,-25
17,Washington Wizards,82,43,39,,3971,8742,3275,7018,,814,2173,,1378,1786,,823,2713,3536,2065,1196,645,353,383,1746,1639,48
18,LA Clippers,82,42,40,,3941,8937,3302,7004,,777,2196,,1556,2095,,832,2766,3598,1832,1204,628,372,462,1638,1803,3
19,Detroit Pistons,82,39,43,,3961,8509,3208,7129,,886,2373,,1207,1621,,830,2756,3586,1868,1102,628,317,398,1508,1511,-12
20,Charlotte Hornets,82,36,46,,3956,8874,3197,7106,,824,2233,,1656,2216,,827,2901,3728,1770,1041,559,373,404,1409,1839,21
