,TEAM,GP,W,L,win%,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,#ERROR!
21,Los Angeles Lakers,82,35,47,,3981,8862,3338,7248,,822,2384,,1364,1910,,876,2927,3803,1949,1295,633,388,447,1736,1679,-127
22,New York Knicks,82,29,53,,3966,8566,3334,7193,,673,1914,,1225,1557,,859,2752,3611,1912,1208,552,421,389,1682,1509,-292
23,Brooklyn Nets,82,28,54,,3971,8741,3136,7114,,1041,2924,,1428,1850,,792,2852,3644,1941,1245,512,390,450,1688,1615,-307
24,Chicago Bulls,82,27,55,,3971,8440,3170,7285,,906,2549,,1194,1574,,790,2872,3662,1923,1147,626,289,423,1571,1425,-577
24,Sacramento Kings,82,27,55,,3951,8104,3179,7063,,738,1967,,1008,1371,,776,2578,3354,1768,1125,643,340,389,1639,1422,-573
26,Orlando Magic,82,25,57,,3946,8479,3182,7042,,844,2405,,1271,1678,,722,2692,3414,1921,1192,622,400,402,1579,1556,-395
27,Atlanta Hawks,82,24,58,,3941,8475,3130,7015,,917,2544,,1298,1654,,743,2693,3436,1946,1274,638,348,453,1606,1661,-447
27,Dallas Mavericks,82,24,58,,3961,8390,3128,7042,,967,2688,,1167,1530,,666,2717,3383,1858,1007,578,310,369,1578,1604,-249
29,Memphis Grizzlies,82,22,60,,3941,8145,3013,6788,,758,2152,,1361,1732,,779,2544,3323,1767,1227,613,396,421,1900,1674,-509
30,Phoenix Suns,82,21,61,,3941,8522,3153,7141,,763,2286,,1453,1962,,842,2776,3618,1743,1289,569,370,488,1807,1715,-768
