,TEAM,GP,W,L,win%,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,#ERROR!
8,Atlanta Hawks,66,40,26,,3233,6375,2429,5348,,492,1330,,1025,1385,,652,2066,2718,1481,921,536,303,313,1178,1263,227
11,Atlanta Hawks,6,2,4,,293,493,191,476,,35,113,,76,97,,60,195,255,105,92,33,20,37,119,113,-28
10,Boston Celtics,66,39,27,,3188,6062,2341,5086,,363,988,,1017,1308,,509,2051,2560,1557,979,498,362,304,1315,1217,166
4,Boston Celtics,20,11,9,,975,1790,676,1543,,93,326,,345,432,,159,638,797,396,260,164,98,88,433,396,20
30,Charlotte Bobcats,66,7,59,,3178,5739,2193,5293,,263,892,,1090,1462,,677,1894,2571,1326,957,397,361,378,1249,1341,-918
1,Chicago Bulls,66,50,16,,3188,6359,2467,5462,,419,1117,,1006,1394,,915,2165,3080,1527,923,456,388,343,1139,1166,540
11,Chicago Bulls,6,2,4,,288,506,204,484,,26,76,,72,111,,69,212,281,135,86,31,40,38,123,113,-10
27,Cleveland Cavaliers,66,21,45,,3193,6140,2261,5360,,440,1273,,1178,1645,,841,1949,2790,1308,1017,466,262,409,1317,1381,-475
13,Dallas Mavericks,66,36,30,,3213,6322,2398,5412,,497,1464,,1029,1334,,665,2157,2822,1380,926,565,337,265,1226,1213,63
15,Dallas Mavericks,4,0,4,,192,373,126,312,,32,86,,89,107,,42,120,162,62,58,32,14,29,83,97,-26
11,Denver Nuggets,66,38,28,,3208,6872,2572,5404,,435,1311,,1293,1760,,738,2105,2843,1581,1015,540,330,439,1297,1452,190
7,Denver Nuggets,7,3,4,,336,677,269,625,,37,133,,102,142,,108,226,334,146,78,49,48,66,147,131,3
22,Detroit Pistons,66,25,41,,3193,5997,2291,5232,,317,916,,1098,1461,,775,1882,2657,1232,1033,460,278,348,1293,1283,-316
23,Golden State Warriors,66,23,43,,3183,6453,2489,5443,,524,1351,,951,1235,,640,1947,2587,1470,915,528,362,328,1410,1095,-225
17,Houston Rockets,66,34,32,,3213,6474,2489,5543,,478,1330,,1018,1301,,769,2014,2783,1404,955,496,319,340,1347,1215,15
5,Indiana Pacers,66,42,24,,3198,6449,2354,5375,,392,1064,,1349,1724,,826,2070,2896,1228,925,523,357,398,1430,1428,218
5,Indiana Pacers,11,6,5,,533,1000,371,874,,63,197,,195,253,,136,348,484,179,166,76,60,61,242,224,15
8,Los Angeles Clippers,66,40,26,,3193,6438,2439,5366,,514,1441,,1046,1538,,800,1943,2743,1385,879,556,315,296,1399,1401,169
10,Los Angeles Clippers,11,4,7,,533,1000,379,828,,68,180,,174,261,,96,309,405,190,162,104,72,55,265,237,-51
6,Los Angeles Lakers,66,41,25,,3213,6422,2429,5319,,362,1112,,1202,1589,,799,2251,3050,1485,997,390,351,302,1109,1332,94
9,Los Angeles Lakers,12,5,7,,576,1128,422,998,,63,207,,221,284,,170,368,538,226,150,69,93,89,236,260,-50
6,Memphis Grizzlies,66,41,25,,3188,6269,2425,5422,,277,849,,1142,1504,,831,1944,2775,1290,955,631,345,363,1316,1275,133
7,Memphis Grizzlies,7,3,4,,341,640,228,534,,24,83,,160,215,,94,205,299,114,108,50,34,43,163,179,5
4,Miami Heat,66,46,20,,3208,6500,2446,5212,,370,1030,,1238,1598,,686,2060,2746,1317,1002,585,355,280,1282,1356,395
2,Miami Heat,23,16,7,,1114,2239,804,1749,,157,452,,474,637,,234,696,930,402,299,168,114,88,473,550,163
19,Milwaukee Bucks,66,31,35,,3173,6535,2502,5652,,436,1265,,1095,1415,,820,1983,2803,1550,929,548,335,297,1273,1278,18
21,Minnesota Timberwolves,66,26,40,,3188,6464,2355,5434,,473,1423,,1281,1662,,797,2089,2886,1290,1001,436,293,377,1212,1435,-145
25,New Jersey Nets,66,22,44,,3178,6144,2262,5320,,507,1481,,1113,1433,,783,1879,2662,1311,995,493,260,330,1268,1274,-395
27,New Orleans Hornets,66,21,45,,3188,5916,2300,5103,,259,777,,1057,1397,,724,1991,2715,1368,1024,488,316,380,1324,1235,-248
13,New York Knicks,66,36,30,,3188,6458,2365,5335,,517,1538,,1211,1634,,743,2012,2755,1328,1056,622,276,334,1391,1437,211
13,New York Knicks,5,1,4,,240,414,153,367,,25,91,,83,109,,62,140,202,63,92,30,11,19,121,99,-70
3,Oklahoma City Thunder,66,47,19,,3198,6802,2462,5229,,472,1317,,1406,1744,,726,2157,2883,1224,1079,498,539,321,1352,1322,404
3,Oklahoma City Thunder,20,13,7,,960,2025,744,1599,,136,383,,401,489,,186,609,795,360,231,173,137,82,448,418,80
12,Orlando Magic,66,37,29,,3193,6215,2275,5162,,670,1785,,995,1508,,742,2060,2802,1321,984,451,275,273,1168,1308,52
13,Orlando Magic,5,1,4,,245,419,155,389,,42,123,,67,95,,49,143,192,86,70,30,22,31,95,95,-54
16,Philadelphia 76ers,66,35,31,,3183,6180,2471,5516,,349,963,,889,1198,,704,2144,2848,1453,738,526,340,316,1157,1070,280
6,Philadelphia 76ers,13,7,6,,624,1114,417,1015,,52,171,,228,317,,140,403,543,236,150,99,69,78,243,273,-16
