,TEAM,GP,W,L,win%,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,#ERROR!
2,Atlanta Hawks,82,60,22,,3946,8409,3121,6699,,818,2152,,1349,1735,,715,2611,3326,2111,1167,744,380,404,1457,1611,445
6,Atlanta Hawks,16,8,8,,778,1568,590,1369,,145,458,,243,311,,157,542,699,381,203,136,79,68,315,307,-3
16,Boston Celtics,82,40,42,,3976,8312,3193,7211,,660,2021,,1266,1678,,910,2685,3595,2009,1133,674,294,431,1738,1545,13
14,Boston Celtics,4,0,4,,192,379,139,331,,22,86,,79,102,,40,123,163,80,54,21,15,31,107,93,-37
18,Brooklyn Nets,82,38,44,,3986,8038,3069,6804,,541,1633,,1359,1817,,846,2627,3473,1716,1133,576,340,372,1579,1641,-236
10,Brooklyn Nets,6,2,4,,293,578,217,499,,51,144,,93,125,,57,210,267,130,86,45,20,28,114,111,-33
22,Charlotte Hornets,82,33,49,,3981,7721,2913,6932,,498,1566,,1397,1867,,820,2793,3613,1654,976,499,448,440,1494,1708,-260
9,Chicago Bulls,82,50,32,,3976,8265,3001,6797,,645,1825,,1618,2067,,959,2792,3751,1781,1145,514,476,443,1495,1736,246
6,Chicago Bulls,12,6,6,,586,1152,421,1005,,110,295,,200,258,,140,405,545,266,168,86,79,85,226,244,41
7,Cleveland Cavaliers,82,53,29,,3956,8457,3089,6739,,826,2253,,1453,1934,,911,2612,3523,1814,1171,603,340,368,1510,1685,367
2,Cleveland Cavaliers,20,14,6,,975,1980,694,1654,,195,574,,397,538,,245,697,942,360,259,126,127,94,418,450,80
9,Dallas Mavericks,82,50,32,,3976,8628,3255,7036,,732,2082,,1386,1843,,858,2608,3466,1846,1062,663,371,314,1644,1816,238
12,Dallas Mavericks,5,1,4,,240,550,208,460,,38,122,,96,126,,68,169,237,106,71,35,23,26,136,123,-21
24,Denver Nuggets,82,30,52,,3976,8320,3099,7158,,660,2032,,1462,1991,,1012,2653,3665,1788,1166,641,367,504,1882,1698,-291
23,Detroit Pistons,82,32,50,,3966,8077,3041,7038,,703,2043,,1292,1838,,1051,2630,3681,1771,1099,623,383,391,1559,1584,-82
1,Golden State Warriors,82,67,15,,3946,9016,3410,7137,,883,2217,,1313,1709,,853,2814,3667,2248,1185,762,496,293,1628,1541,828
1,Golden State Warriors,21,16,5,,1023,2169,802,1769,,240,641,,325,465,,243,715,958,515,307,168,121,98,471,439,164
3,Houston Rockets,82,56,26,,3961,8522,3032,6832,,933,2680,,1525,2133,,958,2624,3582,1820,1366,777,407,437,1803,1730,282
5,Houston Rockets,17,9,8,,816,1839,635,1417,,161,468,,408,624,,185,592,777,372,263,142,93,92,398,463,-42
18,Indiana Pacers,82,38,44,,3971,7981,2998,6824,,612,1740,,1373,1817,,856,2822,3678,1757,1147,505,375,386,1742,1754,23
3,Los Angeles Clippers,82,56,26,,3946,8751,3228,6830,,827,2202,,1468,2067,,784,2711,3495,2031,1012,640,409,245,1749,1766,540
6,Los Angeles Clippers,14,7,7,,677,1509,553,1187,,117,356,,286,429,,135,490,625,315,184,120,82,69,347,351,19
27,Los Angeles Lakers,82,21,61,,3986,8073,3054,7020,,532,1546,,1433,1935,,952,2647,3599,1715,1086,578,366,396,1741,1589,-561
5,Memphis Grizzlies,82,55,27,,3981,8062,3097,6763,,423,1246,,1445,1869,,856,2634,3490,1777,1094,700,347,424,1567,1662,266
4,Memphis Grizzlies,11,6,5,,528,1042,393,925,,48,154,,208,250,,116,362,478,224,121,95,45,62,213,224,-14
21,Miami Heat,82,37,45,,3946,7764,2885,6330,,556,1659,,1438,1940,,747,2461,3208,1626,1214,642,372,359,1636,1715,-213
15,Milwaukee Bucks,82,41,41,,3986,8023,3083,6722,,545,1500,,1312,1734,,876,2574,3450,1932,1373,789,403,392,1814,1649,35
10,Milwaukee Bucks,6,2,4,,298,531,205,529,,33,109,,88,125,,73,189,262,122,79,65,40,42,127,113,-74
30,Minnesota Timberwolves,82,16,66,,3961,8016,2986,6820,,406,1223,,1638,2110,,949,2406,3355,1771,1231,668,327,449,1571,1751,-721
13,New Orleans Pelicans,82,45,37,,3956,8147,3108,6795,,586,1583,,1345,1790,,942,2621,3563,1806,1087,553,510,475,1530,1533,65
14,New Orleans Pelicans,4,0,4,,197,403,152,337,,27,85,,72,89,,43,125,168,93,54,30,23,25,95,79,-32
29,New York Knicks,82,17,65,,3971,7535,2882,6726,,560,1614,,1211,1575,,867,2443,3310,1746,1206,575,382,353,1768,1564,-764
13,Oklahoma City Thunder,82,45,37,,3966,8524,3184,7119,,632,1864,,1524,2020,,1052,2844,3896,1681,1205,598,454,377,1829,1675,179
26,Orlando Magic,82,25,57,,3951,7847,3076,6792,,554,1598,,1141,1565,,822,2607,3429,1692,1221,647,314,441,1714,1467,-469
28,Philadelphia 76ers,82,18,64,,3961,7542,2765,6777,,692,2160,,1320,1953,,978,2536,3514,1683,1453,789,487,454,1778,1657,-736
17,Phoenix Suns,82,39,43,,3976,8397,3178,7038,,698,2048,,1343,1767,,896,2643,3539,1659,1238,700,385,337,1744,1664,-74
8,Portland Trail Blazers,82,51,31,,3971,8429,3175,7049,,807,2231,,1272,1589,,879,2881,3760,1799,1117,525,372,297,1494,1534,347
12,Portland Trail Blazers,5,1,4,,240,469,167,418,,46,131,,89,108,,50,171,221,83,58,17,26,31,103,100,-34
25,Sacramento Kings,82,29,53,,3971,8310,3010,6617,,461,1350,,1829,2400,,895,2728,3623,1667,1333,550,324,508,1696,1958,-304
5,San Antonio Spurs,82,55,27,,3991,8461,3208,6854,,677,1847,,1368,1754,,806,2772,3578,2000,1146,657,444,362,1564,1613,508
9,San Antonio Spurs,7,3,4,,341,724,268,597,,67,183,,121,178,,82,243,325,169,85,43,33,43,174,146,3
11,Toronto Raptors,82,49,33,,3971,8527,3108,6829,,726,2060,,1585,2014,,881,2526,3407,1701,1057,615,357,413,1712,1668,252
14,Toronto Raptors,4,0,4,,197,385,147,353,,30,100,,61,85,,35,119,154,78,48,30,9,26,100,82,-56
18,Utah Jazz,82,38,44,,3941,7801,2900,6492,,610,1781,,1391,1929,,988,2617,3605,1632,1256,623,489,382,1583,1604,18
12,Washington Wizards,82,46,36,,3991,8080,3139,6790,,497,1381,,1305,1758,,862,2801,3663,1969,1233,601,378,350,1707,1610,59
3,Washington Wizards,10,6,4,,485,1011,373,845,,94,233,,171,237,,116,356,472,231,145,71,53,48,200,219,39
