,TEAM,GP,W,L,win%,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,#ERROR!
9,Atlanta Hawks,11,4,7,,528,984,372,876,,50,150,,190,242,,143,296,439,180,129,70,56,44,233,227,-75
6,Atlanta Hawks,82,53,29,,3971,8338,3181,6801,,524,1455,,1452,1914,,969,2451,3420,1789,980,592,413,359,1632,1582,382
3,Boston Celtics,24,15,9,,1157,2253,823,1816,,139,383,,468,620,,212,727,939,507,334,192,110,130,590,545,66
9,Boston Celtics,82,50,32,,3956,8136,3039,6294,,499,1433,,1559,2090,,716,2449,3165,1930,1219,701,402,386,1816,1777,300
16,Charlotte Bobcats,4,0,4,,192,342,125,282,,19,68,,73,102,,34,112,146,81,62,22,18,26,107,94,-37
15,Charlotte Bobcats,82,44,38,,3976,7813,2858,6306,,460,1331,,1637,2180,,858,2490,3348,1658,1290,632,446,502,1597,1804,120
14,Chicago Bulls,5,1,4,,240,485,189,431,,16,54,,91,114,,54,151,205,95,50,29,15,41,107,105,-46
17,Chicago Bulls,82,41,41,,3981,7993,3081,6825,,352,1066,,1479,1962,,937,2715,3652,1704,1175,531,478,438,1648,1643,-134
5,Cleveland Cavaliers,11,6,5,,528,1102,384,819,,79,227,,255,344,,95,342,437,232,164,67,73,46,241,270,14
1,Cleveland Cavaliers,82,61,21,,3956,8373,3101,6391,,602,1582,,1569,2180,,791,2692,3483,1835,1137,564,425,325,1591,1708,535
10,Dallas Mavericks,6,2,4,,288,557,204,476,,38,116,,111,140,,72,191,263,111,78,45,30,19,135,119,-3
4,Dallas Mavericks,82,55,27,,3976,8364,3140,6760,,558,1498,,1526,1870,,834,2586,3420,1917,1059,624,449,337,1563,1652,223
10,Denver Nuggets,6,2,4,,288,656,224,471,,39,109,,169,221,,62,176,238,115,82,49,28,26,185,167,-7
6,Denver Nuggets,82,53,29,,3956,8729,3124,6678,,544,1517,,1937,2508,,889,2505,3394,1719,1136,683,417,438,1844,1943,335
24,Detroit Pistons,82,27,55,,3956,7709,2940,6602,,374,1190,,1455,1998,,1053,2242,3295,1591,1100,596,313,401,1822,1702,-419
26,Golden State Warriors,82,26,56,,3946,8922,3329,7094,,633,1687,,1631,2085,,753,2397,3150,1839,1204,761,340,407,1886,1757,-295
16,Houston Rockets,82,42,40,,3981,8395,3094,6923,,646,1838,,1561,2022,,971,2471,3442,1790,1188,583,318,532,1712,1840,-30
21,Indiana Pacers,82,32,50,,3941,8263,3020,6823,,659,1896,,1564,2019,,785,2618,3403,1730,1232,585,439,414,1848,1709,-247
22,Los Angeles Clippers,82,29,53,,3941,7849,3002,6601,,483,1457,,1362,1867,,927,2502,3429,1810,1285,532,466,363,1581,1588,-521
2,Los Angeles Lakers,23,16,7,,1104,2325,859,1867,,157,476,,450,597,,294,693,987,452,287,154,143,111,534,536,88
3,Los Angeles Lakers,82,57,25,,3966,8339,3144,6875,,532,1562,,1519,1985,,973,2662,3635,1730,1096,612,400,363,1592,1737,387
18,Memphis Grizzlies,82,40,42,,3981,8404,3223,6875,,344,1020,,1614,2202,,1070,2496,3566,1543,1248,645,399,501,1655,1840,-124
14,Miami Heat,5,1,4,,240,438,168,386,,34,91,,68,93,,47,141,188,88,89,35,25,22,114,94,-41
13,Miami Heat,82,47,35,,3976,7914,2984,6518,,494,1426,,1452,1931,,875,2553,3428,1548,1079,605,457,355,1710,1639,187
6,Milwaukee Bucks,7,3,4,,336,630,236,557,,46,149,,112,139,,78,196,274,114,87,44,23,48,147,134,-26
14,Milwaukee Bucks,82,46,36,,3996,8009,3050,6998,,645,1813,,1264,1675,,965,2560,3525,1740,1085,580,385,421,1823,1664,139
29,Minnesota Timberwolves,82,15,67,,3956,8051,3106,6923,,403,1181,,1436,1926,,962,2556,3518,1626,1333,597,306,442,1699,1686,-787
30,New Jersey Nets,82,12,70,,3956,7575,2813,6554,,377,1185,,1572,2015,,897,2358,3255,1540,1182,573,393,421,1643,1647,-748
20,New Orleans Hornets,82,37,45,,3966,8220,3178,6842,,571,1572,,1293,1661,,852,2450,3302,1828,1103,625,300,367,1606,1597,-202
22,New York Knicks,82,29,53,,3976,8373,3127,6876,,743,2145,,1376,1759,,836,2477,3313,1772,1148,586,305,368,1638,1576,-313
10,Oklahoma City Thunder,6,2,4,,288,563,184,471,,33,111,,162,194,,70,190,260,97,75,39,37,37,137,149,-10
9,Oklahoma City Thunder,82,50,32,,3961,8322,3063,6629,,418,1229,,1778,2210,,960,2607,3567,1639,1227,654,481,384,1743,1755,286
1,Orlando Magic,14,10,4,,677,1352,459,991,,138,377,,296,422,,130,435,565,236,192,90,77,53,313,365,121
2,Orlando Magic,82,59,23,,3946,8426,3005,6394,,841,2241,,1575,2176,,810,2736,3546,1615,1155,512,456,288,1629,1819,614
24,Philadelphia 76ers,82,27,55,,3961,8014,3087,6706,,474,1381,,1366,1808,,941,2421,3362,1723,1192,667,439,332,1677,1534,-320
3,Phoenix Suns,16,10,6,,768,1714,608,1274,,150,391,,348,450,,171,471,642,333,201,94,66,83,358,372,74
5,Phoenix Suns,82,54,28,,3946,9039,3339,6788,,730,1770,,1631,2117,,910,2616,3526,1912,1210,479,418,365,1713,1789,402
10,Portland Trail Blazers,6,2,4,,288,558,198,461,,38,100,,124,168,,65,159,224,117,66,36,26,25,139,145,-62
9,Portland Trail Blazers,82,50,32,,3971,8045,2974,6453,,491,1388,,1606,2033,,913,2383,3296,1674,1012,523,350,333,1715,1767,271
28,Sacramento Kings,82,25,57,,3976,8200,3144,6895,,482,1383,,1430,1969,,977,2518,3495,1679,1226,564,366,468,1827,1650,-358
7,San Antonio Spurs,10,4,6,,480,961,364,785,,48,142,,185,266,,101,310,411,192,127,68,43,45,210,226,-34
9,San Antonio Spurs,82,50,32,,3956,8312,3150,6659,,554,1547,,1458,1969,,887,2621,3508,1829,1116,516,381,417,1669,1672,417
18,Toronto Raptors,82,40,42,,3956,8534,3199,6631,,518,1397,,1618,2118,,806,2507,3313,1804,1100,469,384,360,1819,1730,-146
7,Utah Jazz,10,4,6,,480,1071,381,795,,65,174,,244,335,,109,287,396,238,132,59,44,58,270,272,-22
6,Utah Jazz,82,53,29,,3951,8547,3227,6575,,439,1207,,1654,2233,,872,2588,3460,2187,1246,675,400,445,1859,1818,438
26,Washington Wizards,82,26,56,,3966,7892,3008,6700,,432,1225,,1444,1895,,966,2458,3424,1557,1219,493,421,415,1752,1684,-392
