,TEAM,GP,W,L,win%,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,#ERROR!
27,Atlanta Hawks,82,26,56,,3976,7972,2946,6496,,424,1154,,1656,2207,,1069,2232,3301,1625,1284,587,394,422,2054,1855,-390
24,Boston Celtics,82,33,49,,3976,8033,2951,6322,,467,1290,,1664,2204,,813,2432,3245,1716,1359,578,422,404,2033,1837,-126
27,Charlotte Bobcats,82,26,56,,3981,7943,2961,6843,,428,1261,,1593,2186,,990,2270,3260,1717,1167,822,354,441,1960,1929,-328
14,Chicago Bulls,82,41,41,,3981,8020,3004,6737,,560,1477,,1452,1967,,906,2602,3508,1804,1224,508,345,420,2038,1882,52
10,Chicago Bulls,6,2,4,,288,590,204,458,,47,119,,135,182,,53,183,236,110,95,34,23,32,155,157,-18
6,Cleveland Cavaliers,82,50,32,,3966,8002,2908,6412,,497,1465,,1689,2318,,959,2511,3470,1560,1137,567,392,357,1733,1842,183
5,Cleveland Cavaliers,13,7,6,,634,1175,437,999,,55,172,,246,322,,162,387,549,210,188,85,55,70,320,273,-41
3,Dallas Mavericks,82,60,22,,3976,8130,2948,6375,,416,1113,,1818,2322,,1030,2431,3461,1473,1112,593,488,400,1834,1938,498
2,Dallas Mavericks,23,14,9,,1124,2294,831,1842,,110,347,,522,645,,280,701,981,351,295,152,99,110,587,562,94
11,Denver Nuggets,82,44,38,,3986,8227,3078,6672,,350,1076,,1721,2312,,903,2486,3389,1921,1216,698,463,436,1863,1911,19
14,Denver Nuggets,5,1,4,,240,437,163,429,,15,68,,96,132,,70,139,209,99,59,34,21,29,116,135,-38
1,Detroit Pistons,82,64,18,,3966,7941,2983,6558,,557,1451,,1418,1950,,975,2347,3322,1971,931,580,490,285,1513,1710,547
4,Detroit Pistons,18,10,8,,864,1650,578,1338,,124,333,,370,511,,204,494,698,336,214,116,74,77,367,428,57
22,Golden State Warriors,82,34,48,,3966,8076,2939,6785,,625,1832,,1573,2190,,980,2485,3465,1694,1156,604,356,409,1941,1918,-111
22,Houston Rockets,82,34,48,,3966,7387,2708,6252,,469,1414,,1502,1980,,849,2565,3414,1580,1193,588,320,373,1863,1716,-130
14,Indiana Pacers,82,41,41,,3946,7699,2786,6274,,536,1536,,1591,2158,,898,2559,3457,1631,1254,598,409,399,1821,1800,155
10,Indiana Pacers,6,2,4,,288,536,187,422,,40,117,,122,163,,50,174,224,107,95,36,27,19,149,151,-22
9,Los Angeles Clippers,82,47,35,,3961,7970,2993,6443,,290,843,,1694,2142,,828,2704,3532,1708,1185,534,503,355,1872,1777,129
3,Los Angeles Clippers,12,7,5,,586,1268,476,969,,54,143,,262,321,,132,415,547,249,186,60,71,50,287,269,45
10,Los Angeles Lakers,82,45,37,,3971,8154,2992,6607,,552,1583,,1618,2172,,970,2488,3458,1734,1143,628,350,354,1894,1925,205
9,Los Angeles Lakers,7,3,4,,346,704,264,582,,50,150,,126,165,,77,221,298,120,105,45,22,24,160,150,-47
7,Memphis Grizzlies,82,49,33,,3971,7558,2746,6125,,590,1578,,1476,2077,,834,2379,3213,1586,1134,600,442,456,1757,1867,303
16,Memphis Grizzlies,4,0,4,,197,337,120,266,,15,48,,82,113,,33,104,137,56,64,19,15,18,110,112,-56
5,Miami Heat,82,52,30,,3951,8191,3039,6355,,497,1441,,1616,2310,,858,2675,3533,1692,1186,522,442,298,1871,1938,317
1,Miami Heat,23,16,7,,1109,2214,801,1666,,146,439,,466,711,,219,748,967,402,357,161,105,67,553,591,87
17,Milwaukee Bucks,82,40,42,,3971,8020,2976,6566,,507,1335,,1561,2115,,929,2448,3377,1769,1197,597,270,414,1902,1937,-85
14,Milwaukee Bucks,5,1,4,,240,488,189,401,,26,62,,84,107,,53,132,185,105,66,30,12,22,134,100,-48
24,Minnesota Timberwolves,82,33,49,,3971,7522,2888,6340,,310,942,,1436,1895,,811,2422,3233,1716,1189,559,471,374,1889,1736,-154
7,New Jersey Nets,82,49,33,,3956,7691,2778,6317,,477,1447,,1658,2187,,822,2539,3361,1884,1119,558,278,329,1903,1889,112
8,New Jersey Nets,11,5,6,,528,1036,377,834,,59,192,,223,293,,110,315,425,243,140,76,28,41,293,264,-10
18,New Orleans/Oklahoma City Hornets,82,38,44,,3961,7611,2831,6428,,300,885,,1649,2176,,918,2379,3297,1519,1095,611,311,432,1786,1910,-231
29,New York Knicks,82,23,59,,3986,7842,2822,6205,,320,884,,1878,2587,,1033,2360,3393,1468,1449,555,271,436,2157,2051,-525
20,Orlando Magic,82,36,46,,3981,7784,2911,6167,,299,796,,1663,2277,,892,2402,3294,1495,1240,532,362,386,1908,1899,-88
18,Philadelphia 76ers,82,38,44,,3981,8147,3001,6546,,375,1031,,1770,2330,,873,2425,3298,1653,1159,651,404,386,1712,1898,-160
4,Phoenix Suns,82,54,28,,3991,8886,3430,7167,,837,2097,,1189,1475,,778,2650,3428,2179,1088,549,412,282,1683,1623,455
7,Phoenix Suns,20,10,10,,980,2144,801,1661,,184,470,,358,431,,153,580,733,468,231,113,87,85,438,433,24
30,Portland Trail Blazers,82,21,61,,3946,7285,2791,6267,,364,1042,,1339,1944,,886,2203,3089,1490,1205,529,435,403,1828,1704,-775
11,Sacramento Kings,82,44,38,,3966,8106,2954,6500,,494,1408,,1704,2173,,852,2473,3325,1825,1199,608,299,403,1672,1870,126
10,Sacramento Kings,6,2,4,,293,584,208,469,,31,94,,137,173,,74,156,230,92,78,45,15,34,156,137,-57
2,San Antonio Spurs,82,63,19,,3961,7837,2993,6342,,524,1362,,1327,1891,,851,2548,3399,1717,1126,543,467,343,1714,1689,559
5,San Antonio Spurs,13,7,6,,639,1340,474,963,,78,199,,314,404,,106,377,483,227,173,85,72,55,308,346,29
21,Seattle SuperSonics,82,35,47,,3966,8411,3077,6711,,605,1631,,1652,2104,,1013,2233,3246,1696,1208,622,306,399,1933,1820,-248
26,Toronto Raptors,82,27,55,,3991,8287,3013,6639,,608,1620,,1653,2089,,864,2291,3155,1593,1071,529,272,359,1965,1834,-245
14,Utah Jazz,82,41,41,,3976,7573,2744,6207,,311,925,,1774,2466,,1071,2380,3451,1772,1290,524,492,463,2032,2104,-216
13,Washington Wizards,82,42,40,,3966,8336,2975,6656,,497,1394,,1889,2496,,1035,2344,3379,1523,1143,658,339,341,1855,2053,152
10,Washington Wizards,6,2,4,,298,610,212,472,,37,115,,149,200,,69,166,235,105,77,41,33,26,136,161,1
