,TEAM,GP,W,L,win%,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,#ERROR!
11,Indiana Pacers,4,1,3,,192,349,131,329,,25,73,,62,75,,47,112,159,83,50,19,18,23,94,0,-25
22,Los Angeles Clippers,82,31,51,,4006,7581,2896,6467,,360,1063,,1429,2061,,962,2559,3521,1585,1293,490,513,412,1775,2,-237
2,Los Angeles Lakers,82,56,26,,3981,8251,3109,6685,,439,1275,,1594,2333,,1085,2583,3668,1888,1184,564,490,324,1872,7,277
1,Los Angeles Lakers,16,15,1,,773,1654,612,1309,,98,254,,332,491,,229,542,771,365,224,147,92,92,363,0,204
9,Miami Heat,82,50,32,,3976,7289,2694,6258,,478,1384,,1423,1874,,813,2435,3248,1630,1122,633,304,424,1726,5,188
15,Miami Heat,3,0,3,,144,235,89,217,,16,50,,41,58,,22,83,105,50,56,15,15,12,76,1,-67
7,Milwaukee Bucks,82,52,30,,3956,8260,3112,6798,,562,1481,,1474,1874,,975,2500,3475,1844,1123,672,386,350,1928,9,318
3,Milwaukee Bucks,18,10,8,,869,1722,630,1450,,121,316,,341,426,,231,575,806,395,234,106,123,86,429,3,25
12,Minnesota Timberwolves,82,47,35,,3966,7982,3148,6871,,322,901,,1364,1737,,1002,2470,3472,2083,1136,682,456,357,1900,6,111
11,Minnesota Timberwolves,4,1,3,,192,328,123,318,,12,40,,70,86,,44,126,170,74,51,30,23,18,97,0,-26
24,New Jersey Nets,82,26,56,,3946,7552,2781,6550,,361,1084,,1629,2146,,909,2337,3246,1603,1208,649,407,522,1982,4,-414
11,New York Knicks,82,48,34,,3981,7275,2755,6198,,391,1115,,1374,1727,,773,2524,3297,1520,1189,545,346,338,1863,7,216
7,New York Knicks,5,2,3,,240,445,167,357,,20,59,,91,117,,39,143,182,78,73,31,19,26,121,2,-16
17,Orlando Magic,82,43,39,,3991,7992,3013,6873,,490,1346,,1476,2068,,1069,2450,3519,1803,1245,674,481,440,2071,9,81
11,Orlando Magic,4,1,3,,197,411,156,359,,32,82,,67,98,,54,121,175,88,45,32,25,21,106,1,-23
2,Philadelphia 76ers,82,56,26,,3971,7763,2902,6487,,262,803,,1697,2277,,1075,2600,3675,1692,1292,690,408,458,1673,2,351
5,Philadelphia 76ers,23,12,11,,1109,2124,783,1859,,88,262,,470,618,,325,684,1009,459,285,185,113,157,475,1,-2
8,Phoenix Suns,82,51,31,,3961,7710,2944,6757,,332,1054,,1490,1973,,970,2529,3499,1905,1251,775,429,416,1864,6,181
11,Phoenix Suns,4,1,3,,192,354,136,358,,17,68,,65,91,,54,123,177,85,55,39,23,21,94,0,-38
9,Portland Trail Blazers,82,50,32,,3956,7824,3004,6417,,369,1057,,1447,1899,,959,2481,3440,1963,1257,672,419,324,1745,11,344
15,Portland Trail Blazers,3,0,3,,144,267,96,229,,16,61,,59,78,,29,84,113,49,45,19,14,6,64,0,-44
4,Sacramento Kings,82,55,27,,4016,8343,3132,6969,,479,1353,,1600,2075,,987,2705,3692,1852,1221,793,432,476,1596,2,477
10,Sacramento Kings,8,3,5,,384,781,277,688,,40,114,,187,229,,121,260,381,134,133,65,42,45,194,0,1
1,San Antonio Spurs,82,58,24,,3966,7886,2884,6262,,445,1094,,1673,2340,,902,2712,3614,1778,1145,568,576,426,1551,3,636
4,San Antonio Spurs,13,7,6,,624,1190,434,989,,72,198,,250,349,,139,428,567,255,181,79,78,71,269,3,-5
16,Seattle SuperSonics,82,44,38,,3961,7978,3029,6649,,466,1169,,1454,1986,,999,2422,3421,1792,1252,657,409,510,1733,6,2
12,Toronto Raptors,82,47,35,,3991,8007,3048,6972,,429,1164,,1482,1985,,1118,2529,3647,2004,1080,599,519,439,1745,6,185
6,Toronto Raptors,12,6,6,,576,1106,423,954,,71,181,,189,250,,143,322,465,269,163,94,73,58,257,2,11
5,Utah Jazz,82,53,29,,3956,7959,2960,6289,,325,852,,1714,2280,,943,2383,3326,2111,1297,661,463,453,2108,6,385
7,Utah Jazz,5,2,3,,240,448,165,389,,18,55,,100,129,,63,147,210,116,61,26,26,27,134,0,-21
26,Vancouver Grizzlies,82,23,59,,3956,7522,2870,6539,,325,947,,1457,1892,,894,2431,3325,1899,1291,586,359,476,1733,5,-470
27,Washington Wizards,82,19,63,,3936,7645,2833,6453,,275,848,,1704,2245,,1016,2370,3386,1647,1391,630,383,511,1913,9,-547
