,TEAM,GP,W,L,win%,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,#ERROR!
25,Atlanta Hawks,82,25,57,,3946,7459,2876,6668,,333,933,,1374,1811,,1028,2490,3518,1559,1368,634,387,513,1863,7,-427
20,Boston Celtics,82,36,46,,3966,7759,2773,6485,,592,1633,,1621,2190,,897,2367,3264,1708,1285,769,336,440,1952,3,-175
14,Charlotte Hornets,82,46,36,,3976,7539,2800,6501,,340,984,,1599,2146,,1033,2608,3641,1900,1183,665,455,375,1753,5,172
2,Charlotte Hornets,10,6,4,,480,957,339,781,,44,120,,235,314,,132,299,431,197,121,86,46,69,209,2,63
29,Chicago Bulls,82,15,67,,3971,7181,2721,6411,,329,950,,1410,1909,,926,2260,3186,1810,1292,675,379,426,1902,3,-746
23,Cleveland Cavaliers,82,30,52,,3966,7561,2890,6532,,220,659,,1561,2040,,1015,2440,3455,1708,1350,642,436,542,1904,8,-348
5,Dallas Mavericks,82,53,29,,3961,8239,3085,6716,,517,1357,,1552,1954,,831,2571,3402,1740,1141,618,492,379,1907,9,351
7,Dallas Mavericks,10,4,6,,480,922,322,808,,61,172,,217,256,,122,288,410,170,116,59,55,53,234,3,-37
19,Denver Nuggets,82,40,42,,3956,7918,2979,6877,,512,1444,,1448,1964,,1044,2583,3627,1970,1136,552,538,497,1820,3,-202
21,Detroit Pistons,82,32,50,,3971,7837,2919,6880,,389,1112,,1610,2233,,1108,2626,3734,1629,1304,613,447,397,1955,7,-139
28,Golden State Warriors,82,17,65,,3956,7584,2937,7175,,282,964,,1428,2024,,1345,2385,3730,1788,1301,742,410,493,1727,6,-742
15,Houston Rockets,82,45,37,,3966,7972,2943,6494,,504,1412,,1582,2086,,919,2524,3443,1613,1204,587,358,400,1657,3,188
18,Indiana Pacers,82,41,41,,3996,7591,2828,6431,,396,1159,,1539,2009,,921,2595,3516,1763,1244,563,487,387,1926,8,-16
