,TEAM,GP,W,L,win%,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,#ERROR!
30,Atlanta Hawks,82,13,69,,3971,7605,2942,6672,,304,973,,1417,1994,,1100,2335,3435,1614,1319,629,344,484,2009,1,-796
8,Boston Celtics,7,3,4,,341,614,230,520,,34,104,,120,159,,72,204,276,116,107,59,45,46,178,0,-4
11,Boston Celtics,82,45,37,,3976,8304,3046,6511,,437,1252,,1775,2323,,909,2438,3347,1810,1297,667,423,402,2000,3,71
28,Charlotte Bobcats,82,18,64,,3976,7729,2961,6859,,320,881,,1487,2096,,1083,2335,3418,1794,1192,695,440,446,1894,4,-491
11,Chicago Bulls,6,2,4,,288,615,213,508,,54,139,,135,187,,85,182,267,130,91,38,30,39,175,0,-11
10,Chicago Bulls,82,47,35,,3966,7745,2849,6592,,511,1433,,1536,2048,,1001,2591,3592,1743,1371,576,369,434,2028,5,87
17,Cleveland Cavaliers,82,42,40,,3971,7914,2990,6687,,300,904,,1634,2174,,1117,2352,3469,1851,1141,654,461,419,1850,4,65
6,Dallas Mavericks,13,6,7,,629,1367,495,1094,,86,227,,291,370,,187,378,565,227,171,94,66,77,295,2,-21
4,Dallas Mavericks,82,58,24,,3946,8405,3058,6691,,463,1273,,1826,2314,,990,2530,3520,1610,1102,708,461,399,1827,3,471
12,Denver Nuggets,5,1,4,,245,451,164,393,,11,42,,112,152,,51,146,197,82,65,32,29,35,135,0,-51
9,Denver Nuggets,82,49,33,,3951,8161,3038,6615,,320,940,,1765,2313,,967,2473,3440,1958,1224,750,489,458,1878,6,166
3,Detroit Pistons,25,15,10,,1210,2258,863,1974,,113,347,,419,565,,309,748,1057,512,305,183,153,138,526,1,118
5,Detroit Pistons,82,54,28,,3991,7653,2851,6421,,363,1053,,1588,2150,,1054,2507,3561,1787,1133,576,497,367,1638,3,317
21,Golden State Warriors,82,34,48,,3981,8094,3029,7039,,624,1774,,1412,1955,,1069,2436,3505,1811,1112,642,420,417,1833,2,-177
8,Houston Rockets,7,3,4,,336,683,245,526,,50,124,,143,181,,75,189,264,126,100,51,41,34,173,2,-19
7,Houston Rockets,82,51,31,,3971,7796,2846,6419,,553,1521,,1551,1986,,874,2601,3475,1733,1135,563,378,335,1807,0,331
6,Indiana Pacers,13,6,7,,629,1092,375,949,,73,231,,269,343,,142,379,521,234,196,105,77,86,286,0,-38
14,Indiana Pacers,82,44,38,,3981,7626,2668,6169,,542,1575,,1748,2206,,868,2418,3286,1489,1173,615,357,398,1890,6,62
19,Los Angeles Clippers,82,37,45,,4006,7849,2924,6368,,231,669,,1770,2274,,980,2455,3435,1901,1290,599,422,393,1819,2,-63
21,Los Angeles Lakers,82,34,48,,3956,8095,2895,6629,,644,1813,,1661,2137,,1028,2511,3539,1672,1176,508,344,420,1794,1,-243
15,Memphis Grizzlies,4,0,4,,192,411,166,351,,31,79,,48,68,,47,111,158,84,43,23,18,31,98,0,-44
11,Memphis Grizzlies,82,45,37,,3941,7661,2802,6271,,531,1486,,1526,2024,,887,2307,3194,1716,1197,699,476,476,1910,3,188
1,Miami Heat,15,11,4,,730,1470,540,1097,,90,232,,300,449,,124,500,624,284,230,82,86,51,368,0,64
2,Miami Heat,82,59,23,,3996,8327,3097,6368,,475,1260,,1658,2466,,887,2639,3526,1791,1127,528,474,264,1814,0,535
25,Milwaukee Bucks,82,30,52,,3956,7973,2964,6580,,325,925,,1720,2229,,985,2405,3390,1720,1132,529,289,370,1797,5,-245
14,Minnesota Timberwolves,82,44,38,,3951,7934,3045,6629,,395,1145,,1449,1820,,947,2580,3527,1918,1079,460,447,323,1774,3,119
15,New Jersey Nets,4,0,4,,202,387,134,339,,25,86,,94,125,,52,119,171,85,52,30,5,14,123,0,-51
17,New Jersey Nets,82,42,40,,3981,7496,2753,6419,,435,1203,,1555,2039,,855,2387,3242,1772,1164,650,308,402,1985,1,-123
28,New Orleans Hornets,82,18,64,,3986,7252,2718,6556,,415,1316,,1401,1830,,1019,2281,3300,1724,1217,550,310,452,1883,4,-580
23,New York Knicks,82,33,49,,3976,7977,2978,6599,,441,1240,,1580,2060,,965,2393,3358,1665,1204,629,260,389,1942,5,-200
20,Orlando Magic,82,36,46,,3941,8160,3034,6679,,320,916,,1772,2335,,1038,2544,3582,1583,1322,633,441,354,1937,2,-184
12,Philadelphia 76ers,5,1,4,,245,454,174,398,,33,97,,73,102,,48,126,174,99,64,43,20,32,109,1,-40
16,Philadelphia 76ers,82,43,39,,3971,8128,2946,6736,,505,1453,,1731,2194,,909,2536,3445,1710,1274,756,321,383,1878,4,-61
3,Phoenix Suns,15,9,6,,725,1680,627,1272,,129,296,,297,387,,181,466,647,307,193,91,94,73,301,0,63
1,Phoenix Suns,82,62,20,,3956,9054,3351,7018,,796,2026,,1556,2080,,967,2652,3619,1927,1125,572,453,342,1563,1,584
26,Portland Trail Blazers,82,27,55,,3946,7621,2896,6422,,420,1161,,1409,1944,,970,2404,3374,1722,1308,583,544,414,1703,5,-328
12,Sacramento Kings,5,1,4,,240,511,192,431,,29,104,,98,123,,65,115,180,101,56,31,20,24,129,3,-22
8,Sacramento Kings,82,50,32,,3971,8505,3203,6978,,522,1396,,1577,2004,,1023,2455,3478,2005,1073,674,316,365,1685,3,177
2,San Antonio Spurs,23,16,7,,1114,2229,798,1759,,164,422,,469,645,,284,684,968,423,334,128,133,135,504,1,100
2,San Antonio Spurs,82,59,23,,3961,7888,2923,6450,,507,1395,,1535,2120,,987,2489,3476,1770,1126,613,543,421,1717,4,640
5,Seattle SuperSonics,11,6,5,,528,1084,390,852,,53,173,,251,314,,139,304,443,178,152,72,50,56,287,4,-19
6,Seattle SuperSonics,82,52,30,,3951,8113,2882,6498,,666,1824,,1683,2131,,1041,2311,3352,1487,1113,553,338,390,1944,12,188
23,Toronto Raptors,82,33,49,,3961,8178,2952,6656,,648,1681,,1626,2101,,844,2444,3288,1670,1087,621,317,360,1876,2,-133
27,Utah Jazz,82,26,56,,3956,7625,2828,6301,,250,762,,1719,2272,,1047,2243,3290,1826,1292,541,374,474,2189,1,-350
10,Washington Wizards,10,4,6,,480,1004,351,826,,56,188,,246,338,,129,299,428,172,137,82,58,54,254,0,-25
11,Washington Wizards,82,45,37,,3956,8241,2966,6794,,514,1498,,1795,2476,,1133,2374,3507,1563,1172,716,347,412,1807,1,-27
