,TEAM,GP,W,L,win%,MIN,PTS,FGM,FGA,FG%,3p,3PA,3%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,#ERROR!
17,Atlanta Hawks,82,41,41,,3971,9711,3658,7574,,882,2505,,1513,1850,,920,2719,3639,2049,1060,580,401,414,1541,1612,24
10,Atlanta Hawks,6,2,4,,288,695,264,578,,84,224,,83,102,,73,190,263,147,77,46,29,43,98,99,-32
1,Atlanta Hawks,1,1,0,,48,116,45,96,,10,41,,16,27,,22,41,63,26,12,5,8,4,21,19,11
2,Boston Celtics,82,57,25,,3996,9671,3460,7278,,1315,3492,,1436,1769,,796,2921,3717,2186,1095,521,430,318,1542,1568,535
4,Boston Celtics,20,11,9,,965,2239,817,1710,,281,773,,324,400,,189,672,861,483,248,120,127,93,343,354,67
9,Brooklyn Nets,82,45,37,,3946,9295,3399,6978,,1048,2771,,1449,1811,,674,2648,3322,2093,1127,585,506,317,1730,1517,70
16,Brooklyn Nets,4,0,4,,192,370,136,309,,45,138,,53,73,,23,117,140,89,49,21,15,16,62,75,-45
27,Charlotte Hornets,82,27,55,,3966,9098,3385,7413,,881,2669,,1447,1932,,901,2751,3652,2062,1164,634,425,471,1661,1667,-512
19,Chicago Bulls,82,40,42,,3981,9276,3488,7116,,854,2367,,1446,1788,,694,2779,3473,2006,1097,644,371,389,1551,1537,106
3,Chicago Bulls,2,1,1,,96,200,78,168,,15,54,,29,37,,13,60,73,44,22,14,13,7,47,38,-7
5,Cleveland Cavaliers,82,51,31,,3976,9205,3408,6984,,950,2589,,1439,1844,,795,2574,3369,2045,1094,586,384,360,1560,1675,441
12,Cleveland Cavaliers,5,1,4,,240,471,176,392,,50,153,,69,93,,46,140,186,110,79,34,20,23,102,87,-27
21,Dallas Mavericks,82,38,44,,3986,9366,3283,6909,,1246,3362,,1554,2057,,625,2556,3181,1880,1002,514,304,312,1697,1789,6
4,Denver Nuggets,82,53,29,,3951,9495,3574,7088,,969,2559,,1378,1834,,828,2699,3527,2368,1192,618,368,344,1525,1601,273
1,Denver Nuggets,20,16,4,,965,2269,845,1719,,225,600,,354,442,,201,694,895,515,232,137,84,93,385,420,166
30,Detroit Pistons,82,17,65,,3961,9045,3244,7140,,934,2659,,1623,2106,,916,2564,3480,1884,1237,574,308,453,1813,1718,-674
11,Golden State Warriors,82,44,38,,3966,9753,3538,7393,,1363,3540,,1314,1655,,864,2793,3657,2446,1336,588,324,326,1756,1510,148
8,Golden State Warriors,13,6,7,,624,1470,545,1217,,188,553,,192,256,,163,449,612,366,187,94,60,60,298,255,-2
28,Houston Rockets,82,22,60,,3951,9081,3329,7287,,856,2619,,1567,2078,,1100,2695,3795,1835,1332,600,374,509,1679,1692,-644
23,Indiana Pacers,82,35,47,,3951,9535,3444,7345,,1112,3030,,1535,1944,,832,2575,3407,2213,1224,631,478,438,1741,1660,-261
11,LA Clippers,82,44,38,,3966,9314,3370,7060,,1041,2734,,1533,1962,,803,2742,3545,1959,1167,580,364,344,1598,1606,41
12,LA Clippers,5,1,4,,240,578,204,443,,61,169,,109,132,,59,141,200,108,70,33,21,31,115,106,-32
14,Los Angeles Lakers,82,43,39,,3976,9608,3516,7298,,885,2558,,1691,2182,,818,2930,3748,2072,1154,526,378,416,1466,1760,47
7,Los Angeles Lakers,16,8,8,,773,1797,657,1394,,162,484,,321,397,,145,569,714,399,191,109,102,61,279,340,38
1,Los Angeles Lakers,1,1,0,,53,108,38,92,,10,31,,22,24,,12,36,48,27,21,8,7,11,15,26,6
5,Memphis Grizzlies,82,51,31,,3956,9587,3585,7551,,985,2807,,1432,1954,,988,2835,3823,2135,1116,680,473,427,1643,1644,323
10,Memphis Grizzlies,6,2,4,,293,628,230,572,,72,231,,96,115,,79,200,279,140,78,40,21,55,123,105,-45
11,Miami Heat,82,44,38,,3961,8977,3215,6991,,980,2852,,1567,1885,,796,2533,3329,1955,1106,655,243,309,1516,1643,-26
3,Miami Heat,23,13,10,,1109,2492,914,1997,,294,774,,370,455,,212,714,926,542,269,161,82,108,462,429,35
3,Miami Heat,2,1,1,,96,207,71,169,,21,64,,44,52,,16,74,90,43,21,14,6,11,39,46,0
1,Milwaukee Bucks,82,58,24,,3966,9589,3504,7411,,1217,3306,,1364,1837,,914,3074,3988,2115,1199,521,403,323,1480,1557,298
12,Milwaukee Bucks,5,1,4,,245,594,220,463,,78,206,,76,107,,51,171,222,134,72,33,18,17,94,102,-26
15,Minnesota Timberwolves,82,42,40,,3966,9494,3515,7167,,997,2731,,1467,1942,,749,2686,3435,2145,1258,657,444,336,1768,1654,-3
12,Minnesota Timberwolves,5,1,4,,245,527,189,413,,56,161,,93,121,,42,154,196,113,64,33,24,17,108,115,-44
3,Minnesota Timberwolves,2,1,1,,101,222,79,166,,29,73,,35,41,,13,71,84,59,41,24,19,13,41,35,19
15,New Orleans Pelicans,82,42,40,,3971,9378,3447,7180,,899,2468,,1585,2000,,866,2717,3583,2122,1196,681,337,386,1678,1673,155
7,New Orleans Pelicans,1,0,1,,48,118,42,87,,9,28,,25,30,,14,34,48,27,11,5,4,5,23,19,-5
