,TEAM,GP,W,L,win%,MIN,PTS,FGM,FGA,FG%,3p,3PA,3%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,#ERROR!
8,New York Knicks,82,47,35,,3991,9514,3444,7328,,1037,2930,,1589,2087,,1031,2790,3821,1880,1065,527,340,370,1666,1694,240
5,New York Knicks,11,6,5,,528,1101,388,896,,105,360,,220,295,,142,357,499,206,161,77,49,42,214,238,4
19,Oklahoma City Thunder,82,40,42,,3971,9633,3533,7590,,995,2797,,1572,1944,,934,2646,3580,2002,1070,676,341,454,1722,1675,89
3,Oklahoma City Thunder,2,1,1,,96,218,74,181,,24,77,,46,52,,25,55,80,44,25,16,11,12,39,38,-20
25,Orlando Magic,82,34,48,,3956,9136,3323,7074,,883,2551,,1607,2050,,833,2713,3546,1906,1236,603,382,415,1652,1681,-210
3,Philadelphia 76ers,82,54,28,,3976,9448,3347,6870,,1035,2675,,1719,2058,,715,2641,3356,2063,1121,635,389,380,1675,1607,354
2,Philadelphia 76ers,11,7,4,,533,1128,404,924,,134,373,,186,210,,110,363,473,210,136,84,58,60,206,176,-17
9,Phoenix Suns,82,45,37,,3956,9319,3453,7388,,1001,2674,,1412,1781,,971,2657,3628,2235,1110,585,432,327,1739,1629,170
5,Phoenix Suns,11,6,5,,528,1256,474,955,,103,284,,205,257,,101,339,440,270,133,69,62,44,242,229,-25
26,Portland Trail Blazers,82,33,49,,3946,9299,3317,7001,,1056,2893,,1609,2021,,774,2551,3325,1981,1185,553,376,352,1643,1679,-329
7,Sacramento Kings,82,48,34,,3966,9898,3573,7232,,1128,3060,,1624,2055,,782,2699,3481,2237,1106,574,275,341,1616,1711,217
9,Sacramento Kings,7,3,4,,336,796,287,669,,85,278,,137,180,,98,236,334,154,99,54,30,39,158,159,-15
28,San Antonio Spurs,82,22,60,,3971,9269,3533,7593,,911,2640,,1292,1739,,965,2619,3584,2232,1253,572,322,431,1630,1516,-823
17,Toronto Raptors,82,41,41,,3961,9254,3434,7489,,880,2626,,1506,1922,,1043,2485,3528,1961,956,772,424,376,1641,1604,121
7,Toronto Raptors,1,0,1,,48,105,38,87,,11,31,,18,36,,16,34,50,23,16,5,5,10,18,22,-4
22,Utah Jazz,82,37,45,,3961,9600,3485,7365,,1094,3099,,1536,1955,,968,2794,3762,2129,1259,500,429,405,1679,1678,-77
23,Washington Wizards,82,35,47,,3951,9279,3456,7127,,925,2601,,1442,1838,,774,2804,3578,2083,1158,561,424,406,1539,1590,-99
