,TEAM,GP,W,L,win%,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,#ERROR!
8,Atlanta Hawks,7,3,4,,336,647,212,551,,79,230,,144,174,,64,211,275,118,95,46,32,44,146,158,-7
18,Atlanta Hawks,82,38,44,,3966,8282,3061,6688,,768,2116,,1392,1782,,713,2565,3278,2041,1251,680,326,354,1577,1643,-39
26,Boston Celtics,82,25,57,,3946,7892,2996,6883,,575,1729,,1325,1706,,980,2505,3485,1726,1261,584,343,373,1743,1564,-366
13,Brooklyn Nets,12,5,7,,576,1146,417,901,,93,272,,219,297,,120,334,454,220,147,83,34,48,268,271,-16
14,Brooklyn Nets,82,44,38,,3976,8079,2931,6391,,709,1922,,1508,2002,,721,2407,3128,1714,1191,705,311,337,1777,1704,-82
16,Charlotte Bobcats,4,0,4,,192,368,135,301,,31,85,,67,94,,33,126,159,79,60,17,18,18,81,79,-39
16,Charlotte Bobcats,82,43,39,,3981,7942,2976,6730,,516,1471,,1474,2000,,776,2724,3500,1778,1010,499,421,415,1493,1716,-18
15,Chicago Bulls,5,1,4,,245,450,166,393,,32,96,,86,114,,61,148,209,101,66,25,22,33,110,111,-23
11,Chicago Bulls,82,48,34,,3986,7680,2843,6577,,508,1459,,1486,1908,,937,2683,3620,1860,1223,594,424,490,1565,1714,152
22,Cleveland Cavaliers,82,33,49,,3986,8054,3036,6955,,584,1640,,1398,1861,,989,2629,3618,1738,1163,579,304,461,1640,1599,-270
8,Dallas Mavericks,7,3,4,,336,708,274,607,,59,157,,101,132,,82,203,285,134,80,46,29,25,142,137,-14
10,Dallas Mavericks,82,49,33,,3966,8597,3249,6858,,721,1877,,1378,1733,,840,2514,3354,1935,1110,704,356,288,1636,1633,197
20,Denver Nuggets,82,36,46,,3951,8559,3147,7042,,702,1959,,1563,2154,,1009,2717,3726,1838,1305,615,459,459,1890,1778,-176
23,Detroit Pistons,82,29,53,,3956,8286,3182,7124,,507,1580,,1415,2111,,1196,2525,3721,1714,1193,687,395,403,1666,1699,-300
8,Golden State Warriors,7,3,4,,336,745,268,582,,67,184,,142,195,,92,207,299,171,121,49,32,36,177,161,-31
8,Golden State Warriors,82,51,31,,3966,8549,3236,7005,,774,2037,,1303,1731,,896,2819,3715,1912,1247,642,407,342,1784,1584,394
14,Houston Rockets,6,2,4,,303,672,245,550,,49,154,,133,179,,100,195,295,110,83,36,30,55,156,149,2
5,Houston Rockets,82,54,28,,3966,8829,3118,6603,,779,2179,,1814,2549,,920,2797,3717,1755,1323,621,461,460,1676,1993,374
4,Indiana Pacers,19,10,9,,912,1740,639,1416,,139,366,,323,444,,156,594,750,357,258,134,80,82,394,410,-19
4,Indiana Pacers,82,56,26,,3956,7933,2949,6573,,550,1542,,1485,1907,,834,2831,3665,1651,1237,550,446,378,1675,1793,361
6,Los Angeles Clippers,13,6,7,,624,1414,512,1110,,119,335,,271,371,,148,369,517,310,164,122,57,62,316,313,26
3,Los Angeles Clippers,82,57,25,,3951,8850,3208,6761,,693,1966,,1741,2384,,858,2668,3526,2016,1136,703,397,284,1767,1919,572
25,Los Angeles Lakers,82,27,55,,3941,8442,3139,6980,,774,2032,,1390,1835,,745,2620,3365,2006,1239,611,446,387,1627,1580,-516
8,Memphis Grizzlies,7,3,4,,356,677,257,617,,31,107,,132,181,,90,209,299,152,78,63,17,53,146,161,-38
9,Memphis Grizzlies,82,50,32,,3961,7884,3122,6723,,405,1147,,1235,1666,,950,2526,3476,1792,1124,631,375,410,1568,1553,129
2,Miami Heat,20,13,7,,960,1945,708,1443,,186,470,,343,440,,119,561,680,365,243,147,77,55,414,392,35
5,Miami Heat,82,54,28,,3976,8380,3142,6272,,665,1829,,1431,1884,,627,2397,3024,1847,1212,732,367,256,1596,1675,390
30,Milwaukee Bucks,82,15,67,,3976,7829,2952,6737,,548,1553,,1377,1843,,971,2399,3370,1760,1238,541,403,413,1713,1690,-671
17,Minnesota Timberwolves,82,40,42,,3971,8768,3189,7175,,600,1757,,1790,2301,,1024,2644,3668,1963,1142,718,297,457,1504,1936,219
21,New Orleans Pelicans,82,34,48,,3971,8177,3101,6761,,486,1303,,1489,1936,,933,2486,3419,1745,1129,647,523,504,1857,1664,-222
19,New York Knicks,82,37,45,,3971,8084,3027,6739,,759,2038,,1271,1670,,870,2437,3307,1641,1063,631,367,277,1815,1611,-65
4,Oklahoma City Thunder,19,10,9,,937,1947,695,1546,,143,443,,414,505,,212,647,859,366,287,120,118,59,437,421,-20
2,Oklahoma City Thunder,82,59,23,,3961,8705,3194,6782,,664,1839,,1653,2052,,887,2781,3668,1794,1256,678,501,296,1858,1672,520
28,Orlando Magic,82,23,59,,3991,7914,3022,6784,,563,1596,,1307,1714,,794,2654,3448,1726,1222,630,350,445,1678,1500,-446
29,Philadelphia 76ers,82,19,63,,3971,8155,3108,7150,,577,1847,,1362,1918,,949,2556,3505,1791,1384,765,330,558,1844,1686,-857
11,Phoenix Suns,82,48,34,,3951,8629,3172,6845,,765,2055,,1520,2004,,928,2601,3529,1563,1258,688,374,332,1798,1749,216
7,Portland Trail Blazers,11,5,6,,543,1147,422,965,,87,251,,216,271,,129,357,486,193,152,65,66,47,248,256,-69
5,Portland Trail Blazers,82,54,28,,3971,8753,3207,7134,,770,2071,,1569,1926,,1022,2786,3808,1904,1125,454,387,304,1576,1698,327
24,Sacramento Kings,82,28,54,,3966,8241,3026,6766,,491,1475,,1698,2237,,990,2656,3646,1547,1249,587,318,459,1849,1897,-238
1,San Antonio Spurs,23,16,7,,1109,2446,914,1861,,203,496,,415,541,,217,750,967,511,289,187,80,86,456,496,214
1,San Antonio Spurs,82,62,20,,3951,8639,3326,6844,,698,1757,,1289,1642,,762,2786,3548,2064,1180,604,420,379,1495,1585,633
8,Toronto Raptors,7,3,4,,336,673,229,519,,46,147,,169,203,,71,221,292,124,107,39,21,25,181,169,-11
11,Toronto Raptors,82,48,34,,3991,8305,2992,6718,,713,1917,,1608,2055,,935,2552,3487,1737,1159,577,343,352,1882,1815,266
26,Utah Jazz,82,25,57,,3956,7791,2951,6652,,543,1577,,1346,1803,,904,2477,3381,1664,1200,570,366,401,1699,1673,-588
3,Washington Wizards,11,6,5,,533,994,379,877,,62,185,,174,250,,129,365,494,215,141,82,62,47,245,233,10
14,Washington Wizards,82,44,38,,4011,8254,3177,6920,,647,1704,,1253,1715,,886,2573,3459,1909,1204,668,377,320,1675,1600,104
