,TEAM,GP,W,L,win%,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,#ERROR!
7,Atlanta Hawks,82,56,26,,3961,7774,2812,6307,,659,1833,,1491,1955,,1021,2350,3371,1557,1228,701,427,332,1591,5,446
8,Atlanta Hawks,10,4,6,,480,890,309,708,,69,219,,203,261,,110,290,400,154,161,45,43,35,200,99,-29
28,Boston Celtics,82,15,67,,3981,8248,3066,6967,,467,1331,,1649,2199,,1094,2188,3282,1792,1342,811,315,557,1915,9,-601
9,Charlotte Hornets,82,54,28,,3961,8108,2988,6342,,591,1382,,1541,1984,,910,2298,3208,2021,1203,597,349,335,1702,15,153
13,Charlotte Hornets,3,0,3,,144,287,109,241,,19,51,,50,62,,38,73,111,55,40,20,9,10,63,36,-26
1,Chicago Bulls,82,69,13,,3946,8458,3277,6923,,523,1403,,1381,1848,,1235,2461,3696,2142,1109,717,332,286,1617,17,886
1,Chicago Bulls,19,15,4,,912,1758,659,1524,,116,364,,324,441,,283,543,826,393,236,162,92,79,461,122,105
14,Cleveland Cavaliers,82,42,40,,3971,7173,2704,5972,,483,1284,,1282,1773,,909,2159,3068,1714,1188,657,315,350,1882,20,151
24,Dallas Mavericks,82,24,58,,3961,7428,2812,6451,,429,1315,,1375,1918,,1039,2263,3302,1662,1323,654,351,433,1798,15,-522
26,Denver Nuggets,82,21,61,,3986,8020,2934,6687,,636,1711,,1516,1992,,994,2452,3446,1889,1359,504,487,453,1784,19,-515
9,Detroit Pistons,82,54,28,,3966,7723,2827,6095,,582,1499,,1487,1995,,858,2292,3150,1554,1042,633,283,281,1651,15,430
8,Detroit Pistons,5,2,3,,240,428,162,374,,28,85,,76,99,,43,116,159,68,48,35,12,23,101,54,-10
21,Golden State Warriors,82,30,52,,3981,8169,2996,6566,,481,1363,,1696,2180,,1086,2258,3344,1821,1410,612,359,395,1787,5,-388
4,Houston Rockets,82,57,25,,3971,8248,3037,6484,,671,1839,,1503,1992,,927,2565,3492,2013,1365,688,347,365,1610,15,367
4,Houston Rockets,16,9,7,,773,1621,565,1233,,142,392,,349,455,,196,468,664,370,243,123,70,67,350,156,29
17,Indiana Pacers,82,39,43,,3986,7819,2851,6254,,430,1130,,1687,2336,,1029,2390,3419,1750,1338,585,394,418,1977,28,80
18,Los Angeles Clippers,82,36,46,,3986,7969,2989,6696,,474,1339,,1517,2074,,1092,2242,3334,1662,1311,733,441,419,1964,10,-193
13,Los Angeles Clippers,3,0,3,,144,277,98,225,,18,54,,63,86,,31,69,100,49,36,20,13,16,87,55,-38
7,Los Angeles Lakers,82,56,26,,3986,8200,3018,6642,,551,1500,,1613,2330,,1092,2414,3506,1844,1222,740,575,388,1818,9,350
7,Los Angeles Lakers,9,4,5,,437,857,290,649,,44,137,,233,315,,101,249,350,185,120,61,55,48,241,96,10
3,Miami Heat,82,61,21,,3961,7776,2822,6235,,678,1865,,1454,2022,,957,2401,3358,1735,1306,651,439,392,1919,21,450
6,Miami Heat,17,8,9,,816,1461,502,1226,,142,405,,315,455,,189,513,702,292,276,114,87,75,384,156,4
20,Milwaukee Bucks,82,33,49,,3946,7818,2967,6303,,324,920,,1560,2104,,955,2263,3218,1610,1285,634,348,392,1892,11,-155
15,Minnesota Timberwolves,82,40,42,,3956,7882,2937,6436,,371,1093,,1637,2180,,957,2302,3259,1874,1243,618,557,444,1818,13,-121
13,Minnesota Timberwolves,3,0,3,,144,299,120,266,,19,50,,40,54,,42,74,116,72,28,23,12,12,70,42,-34
23,New Jersey Nets,82,26,56,,3956,7974,2994,7091,,484,1371,,1502,2031,,1410,2376,3786,1726,1290,678,481,516,1865,14,-374
4,New York Knicks,82,57,25,,3971,7819,2882,6227,,470,1294,,1585,2119,,973,2516,3489,1809,1462,630,378,295,2033,14,256
3,New York Knicks,10,6,4,,480,912,343,735,,55,148,,171,222,,97,298,395,211,157,87,35,49,234,115,17
12,Orlando Magic,82,45,37,,3971,7719,2839,6497,,567,1662,,1474,1975,,1071,2221,3292,1689,1250,697,362,417,1643,9,-29
8,Orlando Magic,5,2,3,,240,421,149,365,,29,90,,94,126,,48,140,188,66,62,32,26,28,95,50,-39
25,Philadelphia 76ers,82,22,60,,3956,8215,3003,6850,,433,1356,,1776,2450,,1267,2355,3622,1695,1437,683,394,494,1733,8,-536
15,Phoenix Suns,82,40,42,,3971,8431,3143,6705,,527,1428,,1618,2125,,916,2376,3292,2067,1180,664,322,372,1727,9,54
8,Phoenix Suns,5,2,3,,245,501,172,413,,51,145,,106,139,,50,152,202,114,81,41,26,24,110,67,-63
11,Portland Trail Blazers,82,49,33,,3971,8114,3000,6465,,501,1401,,1613,2261,,1058,2494,3552,1709,1357,640,434,428,1928,15,342
12,Portland Trail Blazers,4,1,3,,192,359,131,292,,18,68,,79,109,,47,101,148,79,62,22,17,21,115,50,-28
19,Sacramento Kings,82,34,48,,3962,7908,3000,6611,,414,1058,,1494,2067,,1100,2307,3407,1799,1328,588,362,429,1923,31,-321
27,San Antonio Spurs,82,20,62,,3946,7418,2827,6391,,378,1180,,1386,1929,,1101,2129,3230,1661,1243,646,431,448,1764,13,-646
