,TEAM,GP,W,L,win%,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,#ERROR!
7,Atlanta Hawks,12,6,6,,576,1035,395,910,,54,167,,191,263,,108,338,446,217,149,75,60,64,244,240,-53
13,Atlanta Hawks,82,44,38,,3946,7790,2971,6429,,502,1427,,1346,1728,,762,2460,3222,1802,1118,497,341,348,1554,1517,-67
4,Boston Celtics,9,5,4,,437,852,322,692,,67,144,,141,181,,80,271,351,189,141,66,38,58,197,177,12
6,Boston Celtics,82,56,26,,3956,7913,3023,6219,,408,1119,,1459,1895,,639,2542,3181,1921,1195,676,344,364,1678,1659,440
22,Charlotte Bobcats,82,34,48,,3961,7650,2873,6365,,393,1203,,1511,1999,,848,2444,3292,1728,1192,524,433,496,1637,1730,-328
3,Chicago Bulls,16,9,7,,773,1480,544,1289,,101,307,,291,371,,214,483,697,322,218,117,106,103,340,314,68
1,Chicago Bulls,82,62,20,,3966,8087,3042,6587,,511,1415,,1492,2008,,967,2654,3621,1827,1161,592,468,477,1639,1645,600
29,Cleveland Cavaliers,82,19,63,,3951,7827,2886,6647,,509,1489,,1546,2075,,856,2449,3305,1720,1166,544,341,489,1648,1747,-739
1,Dallas Mavericks,21,16,5,,1013,2063,724,1572,,184,467,,431,533,,203,603,806,423,271,149,86,107,422,453,121
4,Dallas Mavericks,82,57,25,,3941,8220,3069,6463,,645,1768,,1437,1850,,780,2618,3398,1954,1145,557,352,303,1575,1650,347
13,Denver Nuggets,5,1,4,,240,487,163,385,,34,92,,127,180,,37,153,190,88,61,33,18,43,119,125,-24
9,Denver Nuggets,82,50,32,,3941,8811,3145,6613,,662,1704,,1859,2429,,791,2652,3443,1813,1157,605,352,488,1719,1864,390
24,Detroit Pistons,82,30,52,,3976,7951,3056,6647,,472,1256,,1367,1854,,931,2236,3167,1730,1067,595,328,381,1629,1545,-295
20,Golden State Warriors,82,36,46,,3966,8477,3251,7047,,685,1749,,1290,1695,,955,2370,3325,1847,1198,737,406,352,1806,1512,-191
14,Houston Rockets,82,43,39,,3976,8685,3170,6975,,677,1843,,1668,2083,,962,2549,3511,1955,1110,581,371,449,1641,1754,179
13,Indiana Pacers,5,1,4,,240,451,164,401,,29,77,,94,122,,65,127,192,80,76,41,28,38,115,111,-37
19,Indiana Pacers,82,37,45,,3956,8183,3003,6787,,585,1653,,1592,2035,,914,2657,3571,1611,1262,584,456,467,1782,1758,-88
23,Los Angeles Clippers,82,32,50,,3971,8089,3015,6594,,513,1519,,1546,2187,,955,2501,3456,1813,1343,585,402,404,1733,1811,-257
8,Los Angeles Lakers,10,4,6,,480,932,347,778,,48,166,,190,245,,126,283,409,189,125,69,51,37,206,216,-13
4,Los Angeles Lakers,82,57,25,,3966,8321,3128,6757,,524,1487,,1541,1979,,989,2616,3605,1801,1073,602,422,372,1555,1700,501
5,Memphis Grizzlies,13,7,6,,649,1282,477,1092,,50,157,,278,366,,162,398,560,245,170,104,78,88,307,308,-9
11,Memphis Grizzlies,82,46,36,,3976,8195,3200,6801,,309,926,,1486,1981,,970,2391,3361,1691,1145,771,441,505,1705,1754,192
2,Miami Heat,21,14,7,,1018,1948,685,1539,,124,375,,454,584,,213,649,862,346,291,153,127,88,404,451,56
3,Miami Heat,82,58,24,,3956,8369,3031,6301,,547,1479,,1760,2288,,790,2666,3456,1639,1142,544,430,246,1674,1788,612
21,Milwaukee Bucks,82,35,47,,3966,7534,2814,6544,,483,1414,,1423,1881,,862,2480,3342,1545,1103,617,399,392,1682,1694,-69
30,Minnesota Timberwolves,82,17,65,,3956,8288,3090,7014,,589,1565,,1519,1977,,1085,2556,3641,1650,1398,592,422,447,1825,1717,-544
25,New Jersey Nets,82,24,58,,4001,7722,2918,6638,,459,1337,,1427,1881,,909,2440,3349,1723,1152,458,384,375,1807,1638,-512
9,New Orleans Hornets,6,2,4,,288,536,197,431,,27,84,,115,155,,46,155,201,121,77,43,18,35,142,127,-43
11,New Orleans Hornets,82,46,36,,3966,7784,2944,6416,,444,1232,,1452,1897,,824,2468,3292,1691,1069,624,359,396,1719,1674,73
16,New York Knicks,4,0,4,,192,363,128,332,,33,95,,74,99,,58,104,162,67,61,26,27,20,75,84,-34
15,New York Knicks,82,42,40,,3956,8734,3140,6867,,765,2081,,1689,2087,,847,2470,3317,1757,1123,625,475,360,1743,1703,64
6,Oklahoma City Thunder,17,9,8,,841,1742,600,1355,,107,339,,435,533,,222,559,781,300,262,116,129,88,425,392,32
7,Oklahoma City Thunder,82,55,27,,4001,8596,3066,6609,,487,1403,,1977,2401,,903,2604,3507,1672,1156,654,487,356,1836,1767,311
9,Orlando Magic,6,2,4,,288,532,186,455,,37,141,,123,167,,71,183,254,87,77,39,24,23,129,145,11
8,Orlando Magic,82,52,30,,3966,8135,2956,6411,,770,2103,,1453,2101,,864,2679,3543,1636,1224,548,384,310,1640,1791,448
13,Philadelphia 76ers,5,1,4,,240,433,169,408,,32,82,,63,87,,53,150,203,102,53,32,18,31,102,74,-37
16,Philadelphia 76ers,82,41,41,,3986,8119,3125,6776,,443,1248,,1426,1851,,850,2578,3428,1861,1063,621,355,376,1592,1544,123
17,Phoenix Suns,82,40,42,,4001,8611,3219,6844,,701,1857,,1472,1939,,821,2478,3299,1945,1169,545,357,356,1666,1740,-73
9,Portland Trail Blazers,6,2,4,,288,529,199,439,,30,100,,101,129,,55,171,226,102,69,34,31,22,125,117,-31
10,Portland Trail Blazers,82,48,34,,3961,7896,2951,6599,,518,1503,,1476,1835,,996,2230,3226,1736,1070,660,358,339,1585,1743,125
25,Sacramento Kings,82,24,58,,3971,8151,3134,6979,,428,1277,,1455,1981,,1071,2526,3597,1675,1324,608,391,464,1805,1723,-438
9,San Antonio Spurs,6,2,4,,293,566,202,463,,32,109,,130,171,,61,189,250,107,86,44,35,29,129,147,-19
2,San Antonio Spurs,82,61,21,,3956,8502,3148,6628,,685,1727,,1521,1984,,829,2603,3432,1836,1101,602,372,374,1556,1701,468
28,Toronto Raptors,82,22,60,,3956,8124,3144,6755,,345,1091,,1491,1976,,963,2343,3306,1795,1206,581,350,456,1807,1620,-515
18,Utah Jazz,82,39,43,,3976,8153,3064,6590,,435,1256,,1590,2061,,898,2338,3236,1921,1175,629,484,411,1865,1802,-150
27,Washington Wizards,82,23,59,,3986,7977,3048,6888,,392,1182,,1489,1999,,1013,2374,3387,1592,1258,665,502,413,1850,1662,-607
