,TEAM,GP,W,L,win%,MIN,PTS,FGM,FGA,FG%,3p,3PA,3p%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,#ERROR!
11,Atlanta Hawks,72,41,31,,3481,8186,2937,6281,,895,2402,,1417,1745,,760,2525,3285,1737,953,503,342,363,1392,1422,167
5,Atlanta Hawks,18,10,8,,864,1913,701,1562,,211,615,,300,376,,164,599,763,364,224,121,79,77,382,366,-27
16,Boston Celtics,72,36,36,,3476,8109,2985,6401,,979,2618,,1160,1496,,765,2421,3186,1689,1012,556,383,334,1471,1389,105
12,Boston Celtics,5,1,4,,240,561,192,441,,64,183,,113,137,,63,144,207,105,65,32,35,33,105,117,-56
1,Boston Celtics,1,1,0,,48,118,38,96,,15,45,,27,32,,14,35,49,20,11,8,5,9,17,31,18
4,Brooklyn Nets,72,48,24,,3481,8537,3106,6289,,1020,2600,,1305,1623,,640,2559,3199,1929,975,484,379,330,1371,1361,324
3,Brooklyn Nets,12,7,5,,581,1350,488,1034,,163,427,,211,243,,99,412,511,271,139,85,58,74,254,223,76
19,Charlotte Hornets,72,33,39,,3471,7881,2875,6324,,985,2666,,1146,1505,,762,2389,3151,1933,1069,565,344,347,1298,1340,-139
6,Charlotte Hornets,1,0,1,,48,117,43,94,,12,40,,19,25,,7,29,36,26,14,8,6,5,14,21,-27
21,Chicago Bulls,72,31,41,,3476,7969,3035,6380,,904,2446,,995,1258,,693,2544,3237,1927,1089,482,304,364,1362,1277,-64
26,Cleveland Cavaliers,72,22,50,,3486,7476,2778,6175,,720,2141,,1200,1614,,751,2327,3078,1716,1114,559,325,425,1308,1451,-608
8,Dallas Mavericks,72,42,30,,3461,8096,2958,6287,,994,2744,,1186,1524,,657,2463,3120,1647,869,450,311,264,1396,1446,163
8,Dallas Mavericks,7,3,4,,336,742,274,602,,95,245,,99,140,,72,212,284,145,77,39,15,35,142,144,-36
5,Denver Nuggets,72,47,25,,3496,8284,3114,6422,,927,2462,,1129,1406,,758,2442,3200,1933,972,582,323,325,1374,1379,355
9,Denver Nuggets,10,4,6,,490,1148,421,922,,147,385,,159,209,,117,319,436,249,112,61,43,49,204,203,-55
29,Detroit Pistons,72,20,52,,3486,7676,2783,6162,,832,2370,,1278,1683,,694,2381,3075,1743,1075,531,371,419,1477,1469,-322
14,Golden State Warriors,72,39,33,,3461,8187,2973,6347,,1048,2789,,1193,1520,,574,2524,3098,1991,1080,587,342,312,1526,1406,76
6,Golden State Warriors,2,0,2,,101,212,79,177,,27,68,,27,35,,20,74,94,49,41,15,15,13,44,41,-8
30,Houston Rockets,72,17,55,,3461,7833,2826,6372,,992,2923,,1189,1606,,671,2396,3067,1699,1060,546,361,378,1407,1388,-569
17,Indiana Pacers,72,34,38,,3491,8302,3115,6567,,889,2445,,1183,1493,,648,2424,3072,1973,975,611,460,380,1453,1306,-3
4,Indiana Pacers,2,1,1,,96,259,99,205,,31,76,,30,36,,21,73,94,65,31,16,9,15,40,34,0
5,LA Clippers,72,47,25,,3456,8209,3009,6242,,1027,2498,,1164,1387,,678,2501,3179,1756,949,509,295,304,1383,1303,445
7,LA Clippers,19,10,9,,912,2120,743,1557,,263,691,,371,451,,167,615,782,395,203,129,81,51,370,405,77
