,TEAM,GP,W,L,win%,MIN,PTS,FGM,FGA,FG%,3p,3PA,3p%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,#ERROR!
8,Los Angeles Lakers,72,42,30,,3491,7887,2925,6197,,796,2248,,1241,1679,,695,2490,3185,1775,1095,562,386,327,1377,1530,201
10,Los Angeles Lakers,6,2,4,,288,585,206,498,,59,197,,114,147,,63,196,259,116,83,40,24,30,123,126,-39
1,Los Angeles Lakers,1,1,0,,48,103,37,91,,10,31,,19,25,,13,36,49,27,13,15,7,8,18,21,3
15,Memphis Grizzlies,72,38,34,,3481,8157,3085,6608,,803,2258,,1184,1536,,803,2543,3346,1938,957,655,364,377,1349,1318,74
12,Memphis Grizzlies,5,1,4,,240,575,221,472,,52,158,,81,102,,56,150,206,110,52,40,20,31,103,96,-42
1,Memphis Grizzlies,2,2,0,,101,217,80,188,,22,57,,35,50,,27,76,103,40,24,18,17,14,42,45,9
13,Miami Heat,72,40,32,,3476,7781,2824,6029,,932,2606,,1201,1520,,579,2409,2988,1895,1013,569,286,287,1363,1414,2
16,Miami Heat,4,0,4,,197,392,141,357,,48,143,,62,81,,36,133,169,86,56,29,14,12,82,80,-82
7,Milwaukee Bucks,72,46,26,,3466,8649,3221,6610,,1038,2669,,1169,1539,,741,2724,3465,1834,995,585,334,348,1244,1320,424
1,Milwaukee Bucks,23,16,7,,1114,2537,968,2095,,258,804,,343,478,,295,831,1126,525,293,180,97,87,413,462,118
25,Minnesota Timberwolves,72,23,49,,3481,8073,2932,6546,,944,2706,,1265,1662,,757,2376,3133,1846,1027,632,398,398,1507,1432,-400
21,New Orleans Pelicans,72,31,41,,3486,8251,3060,6412,,762,2190,,1369,1878,,845,2568,3413,1872,1052,545,315,426,1295,1534,-21
11,New York Knicks,72,41,31,,3486,7706,2839,6225,,847,2163,,1181,1506,,696,2554,3250,1541,932,507,365,391,1473,1286,166
12,New York Knicks,5,1,4,,240,485,172,432,,52,152,,89,109,,59,173,232,93,61,29,14,34,99,95,-35
26,Oklahoma City Thunder,72,22,50,,3471,7560,2795,6338,,857,2529,,1113,1536,,715,2568,3283,1588,1162,504,316,378,1305,1336,-766
28,Orlando Magic,72,21,51,,3466,7488,2754,6423,,784,2288,,1196,1543,,747,2525,3272,1571,924,496,318,385,1237,1342,-670
3,Philadelphia 76ers,72,49,23,,3486,8182,2981,6257,,811,2169,,1409,1836,,722,2522,3244,1706,1040,655,447,335,1456,1509,402
3,Philadelphia 76ers,12,7,5,,576,1395,510,1029,,134,341,,241,352,,108,428,536,299,154,96,74,45,276,286,90
2,Phoenix Suns,72,51,21,,3496,8300,3118,6357,,940,2490,,1124,1347,,630,2462,3092,1939,902,517,312,258,1374,1294,419
2,Phoenix Suns,22,14,8,,1056,2398,900,1871,,246,654,,352,409,,175,764,939,511,262,142,92,80,434,408,98
8,Portland Trail Blazers,72,42,30,,3461,8360,2973,6558,,1132,2939,,1282,1558,,766,2441,3207,1531,799,496,363,333,1362,1374,129
10,Portland Trail Blazers,6,2,4,,298,717,252,530,,97,235,,116,136,,56,194,250,137,71,31,33,27,139,121,-8
21,Sacramento Kings,72,31,41,,3461,8189,3067,6382,,874,2400,,1181,1585,,674,2307,2981,1836,963,543,358,336,1400,1348,-265
19,San Antonio Spurs,72,33,39,,3496,7998,3014,6518,,716,2046,,1254,1584,,669,2489,3158,1759,821,505,366,369,1293,1338,-125
6,San Antonio Spurs,1,0,1,,48,96,34,97,,8,22,,20,24,,15,40,55,20,8,5,7,11,22,19,-4
24,Toronto Raptors,72,27,45,,3461,8011,2859,6383,,1041,2831,,1252,1536,,680,2314,2994,1735,952,618,388,402,1526,1405,-34
1,Utah Jazz,72,52,20,,3471,8382,2971,6344,,1205,3098,,1235,1546,,765,2709,3474,1703,1023,474,371,282,1335,1365,666
6,Utah Jazz,11,6,5,,528,1286,437,926,,198,480,,214,267,,103,363,466,216,148,57,45,47,237,232,-9
17,Washington Wizards,72,34,38,,3481,8398,3108,6547,,733,2088,,1449,1884,,697,2557,3254,1835,1036,528,297,348,1555,1586,-132
12,Washington Wizards,5,1,4,,240,550,203,443,,35,121,,109,145,,53,164,217,112,67,24,24,36,120,119,-70
4,Washington Wizards,2,1,1,,96,242,94,185,,17,49,,37,46,,20,81,101,51,31,12,18,9,51,36,9
