,TEAM,GP,W,L,win%,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,#ERROR!
1,Dallas Mavericks,82,60,22,,3956,8444,3161,6982,,636,1668,,1486,1793,,912,2544,3456,1837,948,666,449,322,1730,8,638
1,San Antonio Spurs,82,60,22,,3966,7856,2908,6297,,449,1270,,1591,2194,,939,2556,3495,1636,1295,629,529,422,1672,4,444
3,Sacramento Kings,82,59,23,,3966,8342,3242,6990,,491,1288,,1367,1832,,900,2751,3651,2034,1192,736,457,356,1666,0,533
4,Minnesota Timberwolves,82,51,31,,3961,8046,3172,6809,,296,804,,1406,1826,,959,2614,3573,2070,1124,553,433,405,1704,4,170
5,Detroit Pistons,82,50,32,,3981,7492,2700,6277,,533,1488,,1559,2021,,883,2445,3328,1620,1104,556,468,355,1748,13,302
5,Los Angeles Lakers,82,50,32,,3986,8230,3091,6856,,486,1367,,1562,2129,,1078,2554,3632,1909,1192,639,470,311,1874,6,191
5,Portland Trail Blazers,82,50,32,,3970,7803,2987,6491,,379,1150,,1450,1947,,992,2378,3370,1860,1248,725,316,391,1634,5,214
8,New Jersey Nets,82,49,33,,3951,7820,2906,6585,,346,1041,,1662,2195,,991,2528,3519,1887,1212,717,374,423,1772,5,428
9,Indiana Pacers,82,48,34,,3981,7940,2911,6608,,379,1119,,1739,2271,,1004,2622,3626,1910,1210,696,443,513,1811,9,286
9,Philadelphia 76ers,82,48,34,,3971,7941,2975,6640,,245,787,,1746,2253,,1042,2415,3457,1771,1212,844,284,521,1804,8,189
11,New Orleans Hornets,82,47,35,,3981,7699,2914,6695,,404,1075,,1467,1910,,1097,2475,3572,1807,1212,656,394,427,1769,10,173
11,Utah Jazz,82,47,35,,3956,7762,2894,6189,,224,641,,1750,2349,,1021,2381,3402,2103,1375,707,467,427,1837,7,196
