,TEAM,GP,W,L,win%,MIN,PTS,FGM,FGA,FG%,3p,3PA,3p%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,#ERROR!
1,Milwaukee Bucks,73,56,17,,3519,8663,3160,6638,,1007,2840,,1336,1800,,691,3083,3774,1889,1102,526,429,326,1431,1586,736
2,Toronto Raptors,72,53,19,,3476,8118,2897,6331,,995,2663,,1329,1670,,685,2583,3268,1816,1067,636,358,395,1559,1466,449
3,Los Angeles Lakers,71,52,19,,3418,8054,3006,6269,,782,2242,,1260,1728,,757,2490,3247,1803,1077,612,468,263,1471,1544,411
4,LA Clippers,72,49,23,,3476,8377,2992,6425,,895,2410,,1498,1894,,767,2664,3431,1708,1051,511,338,338,1594,1647,464
5,Boston Celtics,72,48,24,,3486,8183,2971,6448,,905,2487,,1336,1668,,768,2549,3317,1655,995,595,406,396,1553,1487,454
6,Denver Nuggets,73,46,27,,3549,8124,3069,6488,,801,2234,,1185,1526,,786,2436,3222,1952,1005,586,337,324,1485,1494,154
7,Indiana Pacers,73,45,28,,3524,7989,3075,6457,,743,2046,,1096,1393,,636,2489,3125,1888,967,543,376,335,1445,1373,143
8,Houston Rockets,72,44,28,,3476,8482,2936,6512,,1126,3261,,1484,1876,,704,2484,3188,1557,1057,627,371,354,1566,1515,213
8,Oklahoma City Thunder,72,44,28,,3486,7950,2879,6156,,770,2171,,1422,1787,,593,2495,3088,1562,986,550,353,290,1390,1641,143
8,Utah Jazz,72,44,28,,3471,8013,2886,6130,,963,2537,,1278,1641,,656,2577,3233,1615,1089,438,292,329,1468,1501,178
11,Miami Heat,73,44,29,,3549,8179,2880,6160,,979,2584,,1440,1840,,620,2619,3239,1892,1088,547,332,302,1501,1584,215
12,Philadelphia 76ers,73,43,30,,3519,8084,3000,6417,,848,2307,,1236,1638,,764,2553,3317,1884,1037,586,389,294,1529,1493,174
13,Dallas Mavericks,75,43,32,,3635,8776,3124,6772,,1136,3095,,1392,1787,,791,2729,3520,1849,953,460,363,311,1462,1601,371
14,Brooklyn Nets,72,35,37,,3496,8048,2908,6498,,941,2746,,1291,1732,,766,2683,3449,1761,1099,464,323,379,1510,1521,-41
15,Portland Trail Blazers,74,35,39,,3567,8508,3122,6749,,952,2525,,1312,1632,,754,2599,3353,1525,946,465,451,364,1606,1488,-85
16,Memphis Grizzlies,73,34,39,,3514,8222,3106,6634,,798,2297,,1212,1589,,754,2643,3397,1965,1113,576,398,386,1546,1474,-78
16,Phoenix Suns,73,34,39,,3519,8294,3006,6429,,831,2320,,1451,1740,,712,2465,3177,1987,1077,559,290,401,1609,1653,16
18,Orlando Magic,73,33,40,,3514,7831,2871,6468,,807,2354,,1282,1656,,751,2498,3249,1747,937,599,396,338,1336,1420,-74
19,San Antonio Spurs,71,32,39,,3443,8098,2995,6350,,760,2021,,1348,1664,,640,2530,3170,1751,895,518,390,308,1377,1424,-79
20,Sacramento Kings,72,31,41,,3491,7927,2943,6364,,914,2511,,1127,1464,,695,2372,3067,1713,1043,556,293,304,1595,1404,-147
21,New Orleans Pelicans,72,30,42,,3486,8341,3065,6598,,982,2656,,1229,1687,,797,2551,3348,1932,1181,539,358,348,1524,1519,-93
22,Charlotte Hornets,65,23,42,,3150,6687,2425,5586,,785,2231,,1052,1406,,715,2066,2781,1549,949,428,268,328,1223,1337,-439
23,Washington Wizards,72,25,47,,3471,8238,2990,6544,,864,2345,,1394,1770,,732,2295,3027,1801,1020,574,309,363,1634,1601,-336
24,Chicago Bulls,65,22,43,,3135,6945,2573,5762,,793,2282,,1006,1332,,680,2041,2721,1510,1005,652,265,384,1417,1246,-200
25,New York Knicks,66,21,45,,3193,6983,2638,5896,,631,1872,,1076,1550,,795,2274,3069,1456,946,504,313,333,1464,1305,-426
26,Detroit Pistons,66,20,46,,3193,7078,2595,5658,,791,2157,,1097,1476,,644,2109,2753,1589,1008,490,299,369,1299,1308,-235
27,Atlanta Hawks,67,20,47,,3256,7488,2723,6067,,805,2416,,1237,1566,,661,2237,2898,1605,1086,523,341,428,1548,1404,-534
28,Minnesota Timberwolves,64,19,45,,3112,7248,2586,5865,,853,2540,,1223,1624,,675,2193,2868,1525,981,555,362,355,1370,1383,-275
29,Cleveland Cavaliers,65,19,46,,3145,6948,2619,5715,,727,2070,,983,1296,,704,2172,2876,1500,1073,447,211,412,1188,1277,-513
30,Golden State Warriors,65,15,50,,3145,6912,2510,5730,,678,2032,,1214,1511,,647,2138,2785,1663,969,534,299,321,1304,1308,-566
1,Portland Trail Blazers,1,1,0,,48,126,38,84,,15,40,,35,41,,9,30,39,20,13,12,7,6,19,25,4
2,Memphis Grizzlies,1,0,1,,48,122,45,92,,14,25,,18,22,,12,37,49,30,18,5,6,7,25,19,-4
1,Los Angeles Lakers,21,16,5,,1008,2369,862,1764,,254,718,,391,516,,222,704,926,538,323,169,112,65,476,471,144
2,Miami Heat,21,14,7,,1018,2310,792,1723,,268,746,,458,555,,163,705,868,523,277,145,81,94,417,475,42
3,Toronto Raptors,11,7,4,,538,1203,430,973,,161,443,,182,234,,90,401,491,273,144,78,60,55,247,223,45
4,Boston Celtics,17,10,7,,831,1859,656,1444,,211,619,,336,412,,149,620,769,385,237,114,82,81,379,374,85
5,LA Clippers,13,7,6,,629,1482,532,1123,,157,427,,261,327,,123,449,572,275,169,97,48,53,298,290,55
6,Milwaukee Bucks,10,5,5,,485,1111,401,871,,133,371,,176,243,,94,373,467,243,149,72,42,36,217,212,12
