,TEAM,GP,W,L,win%,MIN,PTS,FGM,FGA,FG%,3p,3PA,3p%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,#ERROR!
7,Denver Nuggets,19,9,10,,917,2041,738,1568,,233,615,,332,407,,176,596,772,428,265,117,76,76,426,419,-43
8,Oklahoma City Thunder,7,3,4,,341,728,257,598,,84,256,,130,168,,63,286,349,125,119,37,28,27,120,161,-45
8,Utah Jazz,7,3,4,,341,794,279,573,,110,261,,126,163,,65,223,288,150,84,43,22,32,133,149,24
10,Houston Rockets,12,5,7,,581,1292,449,1029,,203,561,,191,242,,80,386,466,256,161,109,42,59,266,223,9
11,Dallas Mavericks,6,2,4,,293,702,253,535,,81,225,,115,159,,46,213,259,129,76,39,22,20,135,147,-58
12,Orlando Magic,5,1,4,,240,535,186,443,,75,199,,88,105,,33,182,215,119,73,34,16,19,105,103,-46
12,Portland Trail Blazers,5,1,4,,240,533,188,441,,58,153,,99,125,,49,165,214,89,80,37,18,29,125,114,-53
14,Brooklyn Nets,4,0,4,,192,423,145,365,,62,184,,71,98,,37,140,177,103,58,20,18,22,85,90,-82
14,Indiana Pacers,4,0,4,,192,403,146,321,,48,128,,63,81,,23,123,146,90,61,37,22,17,93,63,-42
14,Philadelphia 76ers,4,0,4,,192,402,133,336,,32,121,,104,128,,49,135,184,70,48,20,18,22,89,97,-47
