,TEAM,GP,W,L,win%,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,#ERROR!
25,Atlanta Hawks,82,28,54,,3966,7735,3000,6807,,258,814,,1477,1987,,1146,2570,3716,1548,1266,500,461,404,1718,135,-441
19,Boston Celtics,82,35,47,,3946,8146,3054,6880,,417,1260,,1621,2175,,1108,2420,3528,1741,1259,795,286,473,2223,188,-62
12,Charlotte Hornets,4,1,3,,197,365,129,300,,18,60,,89,108,,54,122,176,91,62,33,23,24,88,4,-11
10,Charlotte Hornets,82,49,33,,3956,8072,2935,6533,,339,1001,,1863,2458,,884,2635,3519,2023,1206,732,480,421,1670,178,219
28,Chicago Bulls,82,17,65,,3961,6952,2565,6180,,340,1033,,1482,2089,,1032,2323,3355,1636,1557,646,383,461,1908,213,-771
22,Cleveland Cavaliers,82,32,50,,3971,7950,2977,6734,,343,919,,1653,2205,,1009,2500,3509,1941,1427,715,363,500,2219,246,-287
18,Dallas Mavericks,82,40,42,,3946,8316,3195,7047,,519,1326,,1407,1751,,931,2444,3375,1810,1124,592,416,416,1770,309,-47
19,Denver Nuggets,82,35,47,,3971,8115,3057,6911,,470,1397,,1531,2116,,1073,2590,3663,1911,1281,554,618,462,1962,202,-174
15,Detroit Pistons,3,0,3,,144,239,84,208,,13,35,,58,81,,18,85,103,44,51,18,5,22,74,17,-31
15,Detroit Pistons,82,42,40,,3966,8483,3044,6635,,439,1223,,1956,2506,,917,2458,3375,1707,1288,665,273,396,2011,285,118
27,Golden State Warriors,82,19,63,,3951,7834,2996,7140,,345,1069,,1497,2147,,1300,2438,3738,1851,1302,731,356,495,2043,160,-678
21,Houston Rockets,82,34,48,,3966,8156,3001,6664,,581,1625,,1573,2145,,1008,2586,3594,1774,1425,613,438,433,1663,148,-71
4,Indiana Pacers,23,13,10,,1109,2256,804,1814,,164,433,,484,585,,232,700,932,468,267,125,107,102,538,40,61
3,Indiana Pacers,82,56,26,,3946,8306,3047,6640,,583,1487,,1629,2008,,842,2612,3454,1857,1159,559,422,323,1786,190,377
29,Los Angeles Clippers,82,15,67,,3940,7546,2877,6757,,429,1267,,1363,1826,,955,2377,3332,1479,1325,578,494,377,1821,164,-945
1,Los Angeles Lakers,23,15,8,,1109,2295,859,1849,,124,355,,453,727,,304,693,997,502,279,151,140,86,581,49,54
1,Los Angeles Lakers,82,67,15,,3961,8267,3137,6836,,344,1047,,1649,2369,,1117,2738,3855,1921,1143,613,534,345,1841,206,701
3,Miami Heat,10,6,4,,485,832,309,737,,47,149,,167,242,,105,329,434,191,139,72,51,33,260,20,25
7,Miami Heat,82,52,30,,3966,7739,2974,6462,,446,1202,,1345,1827,,921,2619,3540,1931,1231,582,524,364,1947,172,255
8,Milwaukee Bucks,5,2,3,,240,480,189,413,,18,58,,84,110,,57,157,214,103,59,33,28,17,125,11,9
