,TEAM,GP,W,L,win%,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,#ERROR!
22,Atlanta Hawks,82,33,49,,3956,7711,2901,6610,,423,1194,,1486,1942,,955,2445,3400,1655,1274,666,349,508,1702,9,-347
8,Boston Celtics,82,49,33,,3966,7901,2852,6731,,699,1946,,1498,1960,,891,2570,3461,1722,1114,793,292,476,1776,3,181
3,Boston Celtics,16,9,7,,768,1460,525,1255,,126,367,,284,367,,169,523,692,300,226,142,76,78,366,0,45
11,Charlotte Hornets,82,44,38,,3951,7700,2893,6580,,346,994,,1568,2105,,1059,2505,3564,1759,1150,653,456,422,1747,15,79
6,Charlotte Hornets,9,4,5,,442,865,307,729,,40,110,,211,291,,132,284,416,176,133,80,66,47,247,1,0
28,Chicago Bulls,82,21,61,,3961,7335,2811,6491,,300,868,,1413,1958,,924,2359,3283,1817,1252,633,361,399,1834,13,-700
24,Cleveland Cavaliers,82,29,53,,3971,7812,2948,6582,,387,1026,,1529,1980,,968,2483,3451,1891,1196,572,470,459,1752,10,-273
4,Dallas Mavericks,82,57,25,,3976,8629,3200,6930,,621,1645,,1608,1994,,918,2568,3486,1811,992,581,392,377,1842,8,349
5,Dallas Mavericks,8,4,4,,389,872,318,704,,67,177,,169,202,,87,248,335,157,100,50,37,33,206,2,2
26,Denver Nuggets,82,27,55,,3961,7559,2915,6870,,423,1285,,1306,1756,,1117,2310,3427,1817,1205,613,462,560,1873,9,-477
6,Detroit Pistons,82,50,32,,3936,7735,2845,6301,,567,1509,,1478,1954,,811,2366,3177,1765,1193,648,565,335,1695,6,175
7,Detroit Pistons,10,4,6,,480,830,294,736,,80,226,,162,224,,96,281,377,187,146,73,56,44,210,1,-4
28,Golden State Warriors,82,21,61,,3956,8009,2998,6989,,320,994,,1693,2344,,1334,2493,3827,1706,1378,650,523,516,1884,19,-443
25,Houston Rockets,82,28,54,,3996,7572,2837,6629,,496,1480,,1402,1893,,1025,2411,3436,1482,1156,537,445,415,1476,11,-401
15,Indiana Pacers,82,42,40,,3981,7938,2935,6580,,405,1195,,1663,2155,,930,2568,3498,1884,1249,658,436,466,1876,14,22
7,Indiana Pacers,5,2,3,,250,458,174,380,,24,59,,86,113,,42,169,211,106,91,41,20,32,125,0,1
18,Los Angeles Clippers,82,39,43,,3961,7846,2970,6668,,408,1147,,1498,2026,,1083,2474,3557,1714,1214,510,540,439,1624,6,-38
2,Los Angeles Lakers,82,58,24,,3956,8304,3150,6840,,510,1439,,1494,2138,,1022,2607,3629,1882,1040,625,478,354,1823,8,584
1,Los Angeles Lakers,19,15,4,,917,1859,679,1529,,116,342,,385,534,,233,630,863,373,261,130,110,83,448,2,72
27,Memphis Grizzlies,82,23,59,,3956,7372,2851,6535,,336,1096,,1334,1883,,984,2413,3397,1785,1344,646,488,457,1571,8,-610
20,Miami Heat,82,36,46,,3986,7150,2801,6382,,312,899,,1236,1708,,902,2544,3446,1664,1217,547,448,353,1846,14,-126
17,Milwaukee Bucks,82,41,41,,3981,7996,3041,6577,,593,1583,,1321,1767,,841,2557,3398,1847,1157,596,388,361,1788,9,-18
6,Minnesota Timberwolves,82,50,32,,3961,8145,3175,6887,,396,1047,,1399,1754,,1059,2562,3621,1993,1097,524,427,407,1739,7,277
15,Minnesota Timberwolves,3,0,3,,144,306,108,243,,15,38,,75,104,,43,105,148,48,47,17,8,16,81,2,-32
5,New Jersey Nets,82,52,30,,3966,7889,3042,6816,,403,1194,,1402,1907,,1039,2515,3554,1990,1189,716,490,439,1734,9,341
4,New Jersey Nets,20,11,9,,970,1907,717,1658,,83,291,,390,537,,247,607,854,426,284,157,110,125,490,1,-1
23,New York Knicks,82,30,52,,3961,7514,2817,6520,,474,1344,,1406,1786,,876,2458,3334,1720,1192,558,288,385,1800,14,-327
11,Orlando Magic,82,44,38,,3966,8240,3087,6892,,620,1660,,1446,1917,,941,2439,3380,1804,1118,663,383,383,1700,5,129
13,Orlando Magic,4,1,3,,202,375,133,314,,17,66,,92,124,,36,122,158,78,48,22,15,24,103,0,-20
14,Philadelphia 76ers,82,43,39,,3946,7461,2804,6436,,214,715,,1639,2104,,1092,2534,3626,1638,1256,705,363,458,1645,13,131
7,Philadelphia 76ers,5,2,3,,240,445,152,368,,20,65,,121,160,,63,143,206,97,72,45,20,23,93,0,-44
20,Phoenix Suns,82,36,46,,3966,7802,3097,6934,,358,1096,,1250,1630,,1072,2430,3502,1838,1205,668,401,475,1785,9,-56
8,Portland Trail Blazers,82,49,33,,3966,7925,3004,6671,,466,1318,,1451,1901,,1085,2444,3529,1926,1172,702,368,410,1613,7,245
15,Portland Trail Blazers,3,0,3,,144,274,94,246,,20,54,,66,83,,36,96,132,62,44,25,9,19,81,1,-16
1,Sacramento Kings,82,61,21,,3951,8578,3267,7003,,426,1160,,1618,2154,,1013,2702,3715,1959,1128,741,375,387,1560,9,624
2,Sacramento Kings,16,10,6,,778,1617,591,1319,,80,259,,355,479,,207,522,729,330,236,120,75,86,381,1,36
2,San Antonio Spurs,82,58,24,,3971,7932,2913,6363,,438,1211,,1668,2249,,907,2566,3473,1643,1180,625,537,428,1575,8,509
7,San Antonio Spurs,10,4,6,,480,911,329,762,,50,147,,203,266,,111,299,410,169,111,61,65,50,204,1,30
