,TEAM,GP,W,L,win%,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,#ERROR!
7,Atlanta Hawks,50,31,19,,2415,4315,1539,3759,,197,644,,1040,1422,,675,1499,2174,781,744,346,260,243,986,8,145
11,Atlanta Hawks,9,3,6,,432,717,257,671,,43,138,,160,208,,108,242,350,125,129,73,36,26,175,4,-25
22,Boston Celtics,50,19,31,,2430,4650,1816,4164,,273,758,,745,1077,,680,1458,2138,1073,807,453,255,253,1193,6,-93
16,Charlotte Hornets,50,26,24,,2430,4644,1671,3718,,268,735,,1034,1384,,480,1493,1973,1110,796,443,247,232,1101,6,-5
27,Chicago Bulls,50,13,37,,2414,4095,1539,3836,,177,611,,840,1185,,573,1394,1967,1017,774,436,169,285,1112,6,-473
20,Cleveland Cavaliers,50,22,28,,2410,4322,1562,3561,,182,534,,1016,1356,,472,1316,1788,1093,785,452,203,282,1208,6,-86
22,Dallas Mavericks,50,19,31,,2415,4581,1749,4033,,202,595,,881,1210,,645,1478,2123,921,692,352,292,244,1065,6,-120
26,Denver Nuggets,50,14,36,,2405,4674,1681,3989,,302,922,,1010,1325,,647,1392,2039,969,739,376,275,274,1145,6,-330
10,Detroit Pistons,50,29,21,,2410,4518,1660,3716,,248,679,,950,1283,,605,1412,2017,1009,790,444,208,225,1139,6,171
6,Detroit Pistons,5,2,3,,240,396,161,375,,17,47,,57,72,,56,120,176,89,59,36,9,23,113,1,-15
21,Golden State Warriors,50,21,29,,2425,4416,1730,4173,,162,565,,794,1175,,816,1559,2375,1037,768,414,221,304,1270,6,-125
7,Houston Rockets,50,31,19,,2415,4711,1755,3798,,336,914,,865,1187,,536,1540,2076,1058,812,386,260,245,960,3,116
12,Houston Rockets,4,1,3,,192,388,135,325,,31,85,,87,114,,53,130,183,82,53,30,18,34,104,0,-9
4,Indiana Pacers,50,33,17,,2420,4733,1731,3866,,294,799,,977,1228,,574,1452,2026,1005,649,316,223,238,1082,10,187
2,Indiana Pacers,13,9,4,,629,1217,426,965,,85,234,,280,367,,151,388,539,269,206,86,67,58,337,3,47
28,Los Angeles Clippers,50,9,41,,2425,4519,1711,4007,,214,668,,883,1225,,665,1293,1958,820,796,424,236,289,1223,5,-441
7,Los Angeles Lakers,50,31,19,,2410,4950,1841,3935,,241,685,,1027,1503,,617,1482,2099,1095,754,389,287,196,1231,4,151
9,Los Angeles Lakers,8,3,5,,384,752,282,637,,38,125,,150,234,,97,226,323,156,112,53,51,33,202,2,-23
4,Miami Heat,50,33,17,,2405,4449,1616,3565,,289,804,,928,1262,,503,1512,2015,1019,744,327,304,188,1035,5,248
6,Miami Heat,5,2,3,,240,395,136,340,,28,93,,95,135,,41,137,178,82,63,36,22,15,103,1,-20
11,Milwaukee Bucks,50,28,22,,2410,4584,1753,3818,,231,619,,847,1155,,570,1369,1939,1030,719,442,202,194,1142,9,83
15,Milwaukee Bucks,3,0,3,,149,286,102,225,,14,42,,68,88,,33,81,114,60,49,25,15,15,90,3,-31
17,Minnesota Timberwolves,50,25,25,,2405,4647,1838,4327,,122,410,,849,1143,,754,1392,2146,1218,641,426,272,262,1185,5,19
12,Minnesota Timberwolves,4,1,3,,192,322,128,323,,10,32,,56,73,,57,117,174,75,58,26,24,23,96,1,-25
25,New Jersey Nets,50,16,34,,2410,4569,1691,4160,,225,679,,962,1251,,715,1437,2152,923,750,491,273,326,1134,8,-189
13,New York Knicks,50,27,23,,2420,4320,1610,3704,,208,589,,892,1218,,551,1510,2061,963,804,395,262,215,1140,8,51
3,New York Knicks,20,12,8,,960,1700,637,1485,,64,228,,362,478,,203,582,785,299,268,151,78,92,509,5,40
4,Orlando Magic,50,33,17,,2410,4473,1687,3943,,223,675,,876,1252,,688,1445,2133,1067,819,496,213,239,935,5,130
12,Orlando Magic,4,1,3,,192,345,111,295,,27,87,,96,129,,58,100,158,79,76,36,15,27,94,0,-25
11,Philadelphia 76ers,50,28,22,,2430,4483,1656,3883,,98,371,,1073,1486,,729,1428,2157,934,822,542,271,263,1152,6,103
9,Philadelphia 76ers,8,3,5,,384,714,277,657,,20,84,,140,196,,135,220,355,152,106,83,41,39,204,0,4
13,Phoenix Suns,50,27,23,,2410,4779,1797,4004,,261,702,,924,1215,,598,1418,2016,1249,681,444,200,205,1022,6,113
15,Phoenix Suns,3,0,3,,144,277,104,242,,21,56,,48,65,,31,68,99,67,42,31,7,17,87,0,-31
3,Portland Trail Blazers,50,35,15,,2435,4742,1747,3956,,246,675,,1002,1349,,646,1570,2216,1073,771,411,290,244,1126,8,318
4,Portland Trail Blazers,13,7,6,,624,1120,382,902,,49,144,,307,408,,128,376,504,237,183,100,55,71,311,4,-6
13,Sacramento Kings,50,27,23,,2440,5009,1918,4307,,290,943,,883,1293,,706,1573,2279,1129,842,444,232,221,1016,8,-21
6,Sacramento Kings,5,2,3,,250,453,162,398,,31,111,,98,132,,64,143,207,91,89,53,22,20,119,2,-24
1,San Antonio Spurs,50,37,13,,2415,4640,1740,3812,,172,521,,988,1415,,614,1584,2198,1101,759,421,351,243,1010,6,403
1,San Antonio Spurs,17,15,2,,816,1503,537,1192,,70,200,,359,484,,166,517,683,362,254,124,99,73,370,4,123
17,Seattle SuperSonics,50,25,25,,2420,4743,1756,3976,,309,899,,922,1354,,676,1422,2098,1087,765,393,201,224,1047,9,-54
19,Toronto Raptors,50,23,27,,2415,4557,1660,3940,,226,662,,1011,1330,,712,1447,2159,1036,799,439,321,258,1139,11,-82
1,Utah Jazz,50,37,13,,2435,4666,1684,3620,,140,388,,1158,1510,,555,1508,2063,1204,814,398,276,264,1133,7,326
5,Utah Jazz,11,5,6,,538,981,356,825,,32,106,,237,311,,123,346,469,242,170,85,52,45,298,6,20
29,Vancouver Grizzlies,50,8,42,,2435,4443,1643,3838,,148,453,,1009,1408,,650,1359,2009,963,848,420,199,328,1123,8,-433
24,Washington Wizards,50,18,32,,2410,4560,1768,3969,,179,580,,845,1198,,595,1403,1998,1064,736,393,193,212,1151,5,-112
