"","Team","GP","W","L","win%","MIN","PTS","FGM","FGA","FG%","x3","x3A","x3%","FTM","FTA","FT%","OREB","DREB","REB","AST","TOV","STL","BLK","BLKA","PF","PFD","plus.minus","OREB%","DREB%","AST-TOV","BLK-BLKA","PF-PFD","year"
"1","Atlanta Hawks",89,41,48,46.0674157303371,4302,100.325842696629,36.7752808988764,81.3370786516854,45.2134272689598,9.51685393258427,26.3595505617978,36.1040068201194,17.2584269662921,21.9775280898876,78.5276073619632,8.73033707865168,31.1910112359551,39.9213483146067,24.2584269662921,15.123595505618,8.15730337078652,4.02247191011236,4.47191011235955,19.3595505617978,20.2359550561798,-0.51685393258427,21.8688432310723,78.1311567689277,9.13483146067416,-0.449438202247191,-0.876404494382023,2013
"2","Boston Celtics",82,25,57,30.4878048780488,3946,96.2439024390244,36.5365853658537,83.9390243902439,43.5275315995932,7.01219512195122,21.0853658536585,33.2562174667438,16.1585365853659,20.8048780487805,77.6670574443142,11.9512195121951,30.5487804878049,42.5,21.0487804878049,15.3780487804878,7.1219512195122,4.18292682926829,4.54878048780488,21.2560975609756,19.0731707317073,-4.46341463414634,28.1205164992826,71.8794835007174,5.67073170731707,-0.365853658536585,2.18292682926829,2013
"3","Brooklyn Nets",94,49,45,52.1276595744681,4552,98.1382978723404,35.6170212765957,77.5744680851064,45.9133296763576,8.53191489361702,23.3404255319149,36.5542388331814,18.3723404255319,24.4574468085106,75.1196172248804,8.9468085106383,29.1595744680851,38.1063829787234,20.5744680851064,14.2340425531915,8.38297872340426,3.67021276595745,4.09574468085106,21.7553191489362,21.0106382978723,-1.04255319148936,23.4785036292574,76.5214963707426,6.34042553191489,-0.425531914893617,0.74468085106383,2013
"4","Charlotte Bobcats",86,43,43,50,4173,96.6279069767442,36.1744186046512,81.7558139534884,44.2469065566776,6.36046511627907,18.093023255814,35.1542416452442,17.9186046511628,24.3488372093023,73.5912129894938,9.40697674418605,33.1395348837209,42.546511627907,21.593023255814,12.4418604651163,6,5.1046511627907,5.03488372093023,18.3023255813953,20.8720930232558,-0.662790697674419,22.1098660836294,77.8901339163706,9.15116279069767,0.0697674418604651,-2.56976744186047,2013
"5","Chicago Bulls",87,49,38,56.3218390804598,4231,93.448275862069,34.5862068965517,80.1149425287356,43.1707317073171,6.20689655172414,17.8735632183908,34.7266881028939,18.0689655172414,23.2413793103448,77.7448071216617,11.4712643678161,32.5402298850575,44.0114942528736,22.5402298850575,14.816091954023,7.11494252873563,5.1264367816092,6.01149425287356,19.2528735632184,20.9770114942529,1.48275862068966,26.0642465395665,73.9357534604335,7.72413793103448,-0.885057471264368,-1.72413793103448,2013
"6","Cleveland Cavaliers",82,33,49,40.2439024390244,3986,98.219512195122,37.0243902439024,84.8170731707317,43.6520488856937,7.1219512195122,20,35.609756097561,17.0487804878049,22.6951219512195,75.1209027404621,12.0609756097561,32.0609756097561,44.1219512195122,21.1951219512195,14.1829268292683,7.0609756097561,3.70731707317073,5.6219512195122,20,19.5,-3.29268292682927,27.3355444997236,72.6644555002764,7.01219512195122,-1.91463414634146,0.5,2013
"7","Dallas Mavericks",89,52,37,58.4269662921348,4302,104.550561797753,39.5842696629214,83.876404494382,47.1935699933021,8.76404494382022,22.8539325842697,38.3480825958702,16.6179775280899,20.9550561797753,79.3029490616622,10.3595505617978,30.5280898876404,40.8876404494382,23.247191011236,13.3707865168539,8.42696629213483,4.32584269662921,3.51685393258427,19.9775280898876,19.8876404494382,2.0561797752809,25.3366309425666,74.6633690574334,9.87640449438202,0.808988764044944,0.0898876404494382,2013
"8","Denver Nuggets",82,36,46,43.9024390243902,3951,104.378048780488,38.3780487804878,85.8780487804878,44.689008804317,8.5609756097561,23.890243902439,35.8346094946401,19.0609756097561,26.2682926829268,72.5626740947075,12.3048780487805,33.1341463414634,45.4390243902439,22.4146341463415,15.9146341463415,7.5,5.59756097560976,5.59756097560976,23.0487804878049,21.6829268292683,-2.14634146341463,27.0799785292539,72.9200214707461,6.5,0,1.36585365853659,2013
"9","Detroit Pistons",82,29,53,35.3658536585366,3956,101.048780487805,38.8048780487805,86.8780487804878,44.6659180235823,6.18292682926829,19.2682926829268,32.0886075949367,17.2560975609756,25.7439024390244,67.029843675983,14.5853658536585,30.7926829268293,45.3780487804878,20.9024390243902,14.5487804878049,8.37804878048781,4.81707317073171,4.91463414634146,20.3170731707317,20.719512195122,-3.65853658536585,32.1418973394249,67.8581026605751,6.35365853658537,-0.0975609756097561,-0.402439024390244,2013
"10","Golden State Warriors",89,54,35,60.6741573033708,4302,104.426966292135,39.3707865168539,85.247191011236,46.1842625543693,9.44943820224719,24.9550561797753,37.8658262044124,16.2359550561798,21.6404494382022,75.0259605399792,11.1011235955056,34,45.1011235955056,23.4044943820225,15.3707865168539,7.76404494382022,4.93258426966292,4.24719101123596,22.0337078651685,19.6067415730337,4.07865168539326,24.6138515196811,75.3861484803189,8.03370786516854,0.685393258426966,2.42696629213483,2013
