"","Team","GP","W","L","win%","MIN","PTS","FGM","FGA","FG%","x3","x3A","x3%","FTM","FTA","FT%","OREB","DREB","REB","AST","TOV","STL","BLK","BLKA","PF","PFD","plus.minus","OREB%","DREB%","AST-TOV","BLK-BLKA","PF-PFD","year"
"1","Atlanta Hawks",82,25,57,30.4878048780488,3946,90.9634146341463,35.0731707317073,81.3170731707317,43.131373725255,4.0609756097561,11.3780487804878,35.6913183279743,16.7560975609756,22.0853658536585,75.8696852567642,12.5365853658537,30.3658536585366,42.9024390243902,19.0121951219512,16.6829268292683,7.73170731707317,4.71951219512195,6.25609756097561,22.719512195122,0.0853658536585366,-5.20731707317073,29.2211483797612,70.7788516202388,2.32926829268293,-1.53658536585366,22.6341463414634,2000
"2","Boston Celtics",82,36,46,43.9024390243902,3966,94.6219512195122,33.8170731707317,79.0853658536585,42.7602158828065,7.21951219512195,19.9146341463415,36.2522963870178,19.7682926829268,26.7073170731707,74.0182648401827,10.9390243902439,28.8658536585366,39.8048780487805,20.8292682926829,15.6707317073171,9.37804878048781,4.09756097560976,5.36585365853659,23.8048780487805,0.0365853658536585,-2.13414634146341,27.4816176470588,72.5183823529412,5.15853658536585,-1.26829268292683,23.7682926829268,2000
"3","Charlotte Hornets",92,52,40,56.5217391304348,4456,92.3478260869565,34.1195652173913,79.1521739130435,43.1062894809118,4.17391304347826,12,34.7826086956522,19.9347826086957,26.7391304347826,74.5528455284553,12.6630434782609,31.5978260869565,44.2608695652174,22.7934782608696,14.1739130434783,8.16304347826087,5.44565217391304,4.82608695652174,21.3260869565217,0.0760869565217391,2.55434782608696,28.6100196463654,71.3899803536346,8.6195652173913,0.619565217391304,21.25,2000
"4","Chicago Bulls",82,15,67,18.2926829268293,3971,87.5731707317073,33.1829268292683,78.1829268292683,42.4426766495087,4.01219512195122,11.5853658536585,34.6315789473684,17.1951219512195,23.280487804878,73.8606600314301,11.2926829268293,27.5609756097561,38.8536585365854,22.0731707317073,15.7560975609756,8.23170731707317,4.6219512195122,5.19512195121951,23.1951219512195,0.0365853658536585,-9.09756097560976,29.0646578782172,70.9353421217828,6.31707317073171,-0.573170731707317,23.1585365853659,2000
"5","Cleveland Cavaliers",82,30,52,36.5853658536585,3966,92.2073170731707,35.2439024390244,79.6585365853659,44.2437232088181,2.68292682926829,8.03658536585366,33.3839150227618,19.0365853658537,24.8780487804878,76.5196078431373,12.3780487804878,29.7560975609756,42.1341463414634,20.8292682926829,16.4634146341463,7.82926829268293,5.31707317073171,6.60975609756098,23.219512195122,0.0975609756097561,-4.24390243902439,29.3777134587554,70.6222865412446,4.36585365853659,-1.29268292682927,23.1219512195122,2000
"6","Dallas Mavericks",92,57,35,61.9565217391304,4441,99.5760869565217,37.0326086956522,81.7826086956522,45.2817650186071,6.28260869565217,16.6195652173913,37.8024852844997,19.2282608695652,24.0217391304348,80.0452488687783,10.3586956521739,31.0760869565217,41.4347826086956,20.7608695652174,13.6630434782609,7.35869565217391,5.94565217391304,4.69565217391304,23.2717391304348,0.130434782608696,3.41304347826087,25,75,7.09782608695652,1.25,23.1413043478261,2000
"7","Denver Nuggets",82,40,42,48.780487804878,3956,96.5609756097561,36.3292682926829,83.8658536585366,43.3183074014832,6.24390243902439,17.609756097561,35.4570637119114,17.6585365853659,23.9512195121951,73.7270875763748,12.7317073170732,31.5,44.2317073170732,24.0243902439024,13.8536585365854,6.73170731707317,6.5609756097561,6.0609756097561,22.1951219512195,0.0365853658536585,-2.46341463414634,28.7841191066998,71.2158808933002,10.1707317073171,0.5,22.1585365853659,2000
"8","Detroit Pistons",82,32,50,39.0243902439024,3971,95.5731707317073,35.5975609756098,83.9024390243902,42.4273255813954,4.74390243902439,13.5609756097561,34.9820143884892,19.6341463414634,27.2317073170732,72.1003134796238,13.5121951219512,32.0243902439024,45.5365853658537,19.8658536585366,15.9024390243902,7.47560975609756,5.45121951219512,4.84146341463415,23.8414634146341,0.0853658536585366,-1.69512195121951,29.6732726298875,70.3267273701125,3.96341463414634,0.609756097560976,23.7560975609756,2000
"9","Golden State Warriors",82,17,65,20.7317073170732,3956,92.4878048780488,35.8170731707317,87.5,40.9337979094077,3.4390243902439,11.7560975609756,29.253112033195,17.4146341463415,24.6829268292683,70.5533596837945,16.4024390243902,29.0853658536585,45.4878048780488,21.8048780487805,15.8658536585366,9.04878048780488,5,6.01219512195122,21.0609756097561,0.0731707317073171,-9.04878048780488,36.058981233244,63.941018766756,5.9390243902439,-1.01219512195122,20.9878048780488,2000
"10","Houston Rockets",82,45,37,54.8780487804878,3966,97.219512195122,35.890243902439,79.1951219512195,45.3187557745611,6.14634146341463,17.219512195122,35.6940509915014,19.2926829268293,25.4390243902439,75.8389261744966,11.2073170731707,30.780487804878,41.9878048780488,19.6707317073171,14.6829268292683,7.15853658536585,4.36585365853659,4.8780487804878,20.2073170731707,0.0365853658536585,2.29268292682927,26.6918385129248,73.3081614870752,4.98780487804878,-0.51219512195122,20.1707317073171,2000
