"","Team","GP","W","L","win%","MIN","PTS","FGM","FGA","FG%","x3","x3A","x3%","FTM","FTA","FT%","OREB","DREB","REB","AST","TOV","STL","BLK","BLKA","PF","PFD","plus.minus","OREB%","DREB%","AST-TOV","BLK-BLKA","PF-PFD","year"
"1","Atlanta Hawks",82,24,58,29.2682926829268,3941,103.353658536585,38.1707317073171,85.5487804878049,44.6186742694227,11.1829268292683,31.0243902439024,36.0455974842767,15.8292682926829,20.1707317073171,78.4764207980653,9.0609756097561,32.8414634146341,41.9024390243902,23.7317073170732,15.5365853658537,7.78048780487805,4.24390243902439,5.52439024390244,19.5853658536585,20.2560975609756,-5.45121951219512,21.6239813736903,78.3760186263097,8.19512195121951,-1.28048780487805,-0.670731707317073,2017
"2","Boston Celtics",101,66,35,65.3465346534654,4883,103.514851485149,37.950495049505,84.7227722772277,44.7937361224728,11.2673267326733,30.4257425742574,37.0322160754963,16.3465346534653,21.2277227722772,77.0055970149254,9.25742574257426,34.6732673267327,43.9306930693069,22.2277227722772,13.5544554455446,7.26732673267327,4.45544554455446,4.65346534653465,19.8613861386139,19.5742574257426,3.03960396039604,21.0727969348659,78.9272030651341,8.67326732673267,-0.198019801980198,0.287128712871287,2017
"3","Brooklyn Nets",82,28,54,34.1463414634146,3971,106.59756097561,38.2439024390244,86.7560975609756,44.0820916502671,12.6951219512195,35.6585365853659,35.6019151846785,17.4146341463415,22.5609756097561,77.1891891891892,9.65853658536585,34.780487804878,44.4390243902439,23.6707317073171,15.1829268292683,6.24390243902439,4.75609756097561,5.48780487804878,20.5853658536585,19.6951219512195,-3.74390243902439,21.7343578485181,78.2656421514819,8.48780487804878,-0.731707317073171,0.890243902439024,2017
"4","Charlotte Hornets",82,36,46,43.9024390243902,3956,108.219512195122,38.9878048780488,86.6585365853659,44.9901491697157,10.0487804878049,27.2317073170732,36.9010300044783,20.1951219512195,27.0243902439024,74.7292418772563,10.0853658536585,35.3780487804878,45.4634146341463,21.5853658536585,12.6951219512195,6.81707317073171,4.54878048780488,4.92682926829268,17.1829268292683,22.4268292682927,0.25609756097561,22.1834763948498,77.8165236051502,8.89024390243902,-0.378048780487805,-5.24390243902439,2017
"5","Chicago Bulls",82,27,55,32.9268292682927,3971,102.926829268293,38.6585365853659,88.8414634146341,43.5140700068634,11.0487804878049,31.0853658536585,35.5433503334641,14.5609756097561,19.1951219512195,75.8576874205845,9.63414634146342,35.0243902439024,44.6585365853659,23.4512195121951,13.9878048780488,7.63414634146341,3.52439024390244,5.15853658536585,19.1585365853659,17.3780487804878,-7.03658536585366,21.5729109776079,78.4270890223921,9.46341463414634,-1.63414634146341,1.78048780487805,2017
"6","Cleveland Cavaliers",104,62,42,59.6153846153846,5012,108.807692307692,39.6346153846154,84.1442307692308,47.1031882070621,11.5576923076923,31.7596153846154,36.3911595519225,17.9807692307692,23.2403846153846,77.3686388084402,8.74038461538461,33.2307692307692,41.9711538461538,22.4903846153846,13.5096153846154,6.85576923076923,3.93269230769231,4.19230769230769,18.7884615384615,20.9326923076923,0.375,20.8247422680412,79.1752577319588,8.98076923076923,-0.259615384615385,-2.14423076923077,2017
"7","Dallas Mavericks",82,24,58,29.2682926829268,3961,102.317073170732,38.1463414634146,85.8780487804878,44.4191990911673,11.7926829268293,32.780487804878,35.9747023809524,14.2317073170732,18.6585365853659,76.2745098039216,8.12195121951219,33.1341463414634,41.2560975609756,22.6585365853659,12.280487804878,7.04878048780488,3.78048780487805,4.5,19.2439024390244,19.5609756097561,-3.03658536585366,19.6866686373042,80.3133313626958,10.3780487804878,-0.719512195121951,-0.317073170731707,2017
"8","Denver Nuggets",82,46,36,56.0975609756098,3976,110,40.7073170731707,86.609756097561,47.0008448324416,11.4634146341463,30.9268292682927,37.0662460567823,17.1219512195122,22.3170731707317,76.7213114754098,11,33.5121951219512,44.5121951219512,25.109756097561,14.9512195121951,7.64634146341463,4.92682926829268,4.76829268292683,18.6951219512195,20.719512195122,1.47560975609756,24.7123287671233,75.2876712328767,10.1585365853659,0.158536585365854,-2.02439024390244,2017
"9","Detroit Pistons",82,39,43,47.5609756097561,3961,103.768292682927,39.1219512195122,86.9390243902439,44.9992986393604,10.8048780487805,28.9390243902439,37.3367045933418,14.719512195122,19.7682926829268,74.4602097470697,10.1219512195122,33.609756097561,43.7317073170732,22.780487804878,13.4390243902439,7.65853658536585,3.86585365853659,4.85365853658537,18.390243902439,18.4268292682927,-0.146341463414634,23.1455660903514,76.8544339096486,9.34146341463415,-0.98780487804878,-0.0365853658536585,2017
"10","Golden State Warriors",103,74,29,71.8446601941748,4959,112.844660194175,42.4757281553398,85.2912621359223,49.800796812749,11.2718446601942,29.3980582524272,38.3421400264201,16.621359223301,20.3495145631068,81.6793893129771,8.57281553398058,35.2427184466019,43.8155339805825,28.631067961165,14.9029126213592,7.97087378640777,7.12621359223301,3.6504854368932,19.621359223301,18.6796116504854,6.79611650485437,19.5656990915134,80.4343009084866,13.7281553398058,3.47572815533981,0.941747572815534,2017
