"","Team","GP","W","L","win%","MIN","PTS","FGM","FGA","FG%","x3","x3A","x3%","FTM","FTA","FT%","OREB","DREB","REB","AST","TOV","STL","BLK","BLKA","PF","PFD","plus.minus","OREB%","DREB%","AST-TOV","BLK-BLKA","PF-PFD","year"
"1","Atlanta Hawks",86,51,35,59.3023255813954,4168,95.4651162790698,35.093023255814,77.2558139534884,45.4244431065623,4.23255813953488,12.6511627906977,33.4558823529412,21.046511627907,27.9418604651163,75.3225135247607,13.3720930232558,29.4418604651163,42.8139534883721,19.0348837209302,14.7093023255814,7.8953488372093,5.93023255813953,4.45348837209302,20.5232558139535,0.151162790697674,3.41860465116279,31.2330255296035,68.7669744703965,4.32558139534884,1.47674418604651,20.3720930232558,1997
"2","Boston Celtics",82,36,46,43.9024390243902,3946,95.9024390243902,36.7317073170732,84.5609756097561,43.4381309489472,5.0609756097561,15.2317073170732,33.226581265012,17.3780487804878,23.9512195121951,72.5560081466395,14.5853658536585,24.9268292682927,39.5121951219512,22.1463414634146,16.219512195122,12.0365853658537,4.46341463414634,4.95121951219512,26.8658536585366,0.182926829268293,-2.6219512195122,36.9135802469136,63.0864197530864,5.92682926829268,-0.48780487804878,26.6829268292683,1997
"3","Charlotte Hornets",91,55,36,60.4395604395604,4388,95.2527472527473,35.8901098901099,76.9230769230769,46.6571428571429,4.15384615384615,11.032967032967,37.6494023904382,19.3186813186813,25.9010989010989,74.5863385659737,11.7252747252747,28.3956043956044,40.1208791208791,23.4285714285714,15.0989010989011,8.23076923076923,3.7032967032967,4.52747252747253,21.4395604395604,0.307692307692308,1.20879120879121,29.2248698986579,70.7751301013421,8.32967032967033,-0.824175824175824,21.1318681318681,1997
"4","Chicago Bulls",103,77,26,74.7572815533981,4989,95.9902912621359,36.7087378640777,81.6699029126214,44.9476937708036,3.87378640776699,11.9805825242718,32.3338735818476,18.6990291262136,25.2427184466019,74.0769230769231,14.9223300970874,29.1650485436893,44.0873786407767,23.1359223300971,14,8.57281553398058,4.3495145631068,4.0873786407767,21.0582524271845,0.174757281553398,7.0873786407767,33.8471702268223,66.1528297731777,9.13592233009709,0.262135922330097,20.8834951456311,1997
"5","Cleveland Cavaliers",86,48,38,55.8139534883721,4158,91.953488372093,34,75.0348837209302,45.3122578645591,3.54651162790698,9.59302325581395,36.969696969697,20.406976744186,27.0697674418605,75.3865979381443,11.5697674418605,28.2441860465116,39.8139534883721,22.8837209302326,17.3837209302326,9.86046511627907,5.01162790697674,5.65116279069767,23.6511627906977,0.13953488372093,2.23255813953488,29.0595794392523,70.9404205607477,5.5,-0.63953488372093,23.5116279069767,1997
"6","Dallas Mavericks",82,20,62,24.390243902439,3981,91.390243902439,35.1463414634146,82.3536585365854,42.6773285946987,5.14634146341463,14.4268292682927,35.6720202874049,15.9512195121951,21.1951219512195,75.258918296893,12.2926829268293,27.8048780487805,40.0975609756098,18.719512195122,14.4268292682927,7.8780487804878,5.68292682926829,4.5609756097561,20.0365853658537,0.158536585365854,-6.10975609756098,30.6569343065693,69.3430656934307,4.29268292682927,1.1219512195122,19.8780487804878,1997
"7","Denver Nuggets",82,11,71,13.4146341463415,3946,89.0243902439024,32.6463414634146,78.1829268292683,41.7563562626735,3.51219512195122,10.890243902439,32.2508398656215,20.219512195122,26.1829268292683,77.2240335351653,12.6829268292683,26.3048780487805,38.9878048780488,18.8658536585366,16,8.09756097560976,4.79268292682927,6.52439024390244,23.6219512195122,0.195121951219512,-11.780487804878,32.5304973412574,67.4695026587426,2.86585365853659,-1.73170731707317,23.4268292682927,1997
"8","Detroit Pistons",82,37,45,45.1219512195122,3991,94.1585365853659,34.9024390243902,77.719512195122,44.9082064961557,3.57317073170732,11.4390243902439,31.2366737739872,20.780487804878,27.9024390243902,74.4755244755245,12.7317073170732,28.5121951219512,41.2439024390244,19.4756097560976,14.609756097561,8.26829268292683,4.19512195121951,4.65853658536585,22.0121951219512,0.158536585365854,1.57317073170732,30.869308101715,69.130691898285,4.86585365853659,-0.463414634146341,21.8536585365854,1997
"9","Golden State Warriors",82,19,63,23.1707317073171,3966,88.2560975609756,34.6951219512195,83.9390243902439,41.3337207612959,2.30487804878049,8.48780487804878,27.1551724137931,16.5609756097561,23.3170731707317,71.0251046025105,15.7073170731707,30.1585365853659,45.8658536585366,20.8292682926829,16.6951219512195,7.57317073170732,5.46341463414634,5.82926829268293,22.6707317073171,0.0975609756097561,-9.12195121951219,34.2462111140654,65.7537888859346,4.13414634146341,-0.365853658536585,22.5731707317073,1997
"10","Houston Rockets",87,43,44,49.4252873563218,4206,97.9540229885057,35.5287356321839,79.1954022988506,44.8621190130624,6.86206896551724,20.264367816092,33.862733976177,20.0344827586207,26.0804597701149,76.817981489643,11.9885057471264,28.8045977011494,40.7931034482759,21.6091954022989,15.6666666666667,8.29885057471264,3.66666666666667,4.52873563218391,20.367816091954,0.172413793103448,-1.10344827586207,29.3885601577909,70.6114398422091,5.94252873563218,-0.862068965517241,20.1954022988506,1997
