"","Team","GP","W","L","win%","MIN","PTS","FGM","FGA","FG%","x3","x3A","x3%","FTM","FTA","FT%","OREB","DREB","REB","AST","TOV","STL","BLK","BLKA","PF","PFD","plus.minus","OREB%","DREB%","AST-TOV","BLK-BLKA","PF-PFD","year"
"1","Atlanta Hawks",82,28,54,34.1463414634146,3966,94.3292682926829,36.5853658536585,83.0121951219512,44.0722785368004,3.14634146341463,9.92682926829268,31.6953316953317,18.0121951219512,24.2317073170732,74.3331655762456,13.9756097560976,31.3414634146341,45.3170731707317,18.8780487804878,15.4390243902439,6.09756097560976,5.6219512195122,4.92682926829268,20.9512195121951,1.64634146341463,-5.3780487804878,30.8396124865447,69.1603875134553,3.4390243902439,0.695121951219512,19.3048780487805,1999
"2","Boston Celtics",82,35,47,42.6829268292683,3946,99.3414634146341,37.2439024390244,83.9024390243902,44.3895348837209,5.08536585365854,15.3658536585366,33.0952380952381,19.7682926829268,26.5243902439024,74.5287356321839,13.5121951219512,29.5121951219512,43.0243902439024,21.2317073170732,15.3536585365854,9.69512195121951,3.48780487804878,5.76829268292683,27.109756097561,2.29268292682927,-0.75609756097561,31.40589569161,68.59410430839,5.8780487804878,-2.28048780487805,24.8170731707317,1999
"3","Charlotte Hornets",86,50,36,58.1395348837209,4153,98.1046511627907,35.6279069767442,79.453488372093,44.8412117664276,4.15116279069767,12.3372093023256,33.6475023562677,22.6976744186047,29.8372093023256,76.0717069368667,10.906976744186,32.0581395348837,42.9651162790698,24.5813953488372,14.7441860465116,8.8953488372093,5.84883720930233,5.17441860465116,20.4418604651163,2.11627906976744,2.41860465116279,25.3856562922869,74.6143437077131,9.83720930232558,0.674418604651163,18.3255813953488,1999
"4","Chicago Bulls",82,17,65,20.7317073170732,3961,84.780487804878,31.280487804878,75.3658536585366,41.504854368932,4.14634146341463,12.5975609756098,32.9138431752178,18.0731707317073,25.4756097560976,70.9430349449497,12.5853658536585,28.3292682926829,40.9146341463415,19.9512195121951,18.9878048780488,7.8780487804878,4.67073170731707,5.6219512195122,23.2682926829268,2.59756097560976,-9.40243902439024,30.7600596125186,69.2399403874814,0.963414634146341,-0.951219512195122,20.6707317073171,1999
"5","Cleveland Cavaliers",82,32,50,39.0243902439024,3971,96.9512195121951,36.3048780487805,82.1219512195122,44.2084942084942,4.18292682926829,11.2073170731707,37.3231773667029,20.1585365853659,26.890243902439,74.9659863945578,12.3048780487805,30.4878048780488,42.7926829268293,23.6707317073171,17.4024390243902,8.71951219512195,4.42682926829268,6.09756097560976,27.0609756097561,3,-3.5,28.7546309489883,71.2453690510117,6.26829268292683,-1.67073170731707,24.0609756097561,1999
"6","Dallas Mavericks",82,40,42,48.780487804878,3946,101.414634146341,38.9634146341463,85.9390243902439,45.338441890166,6.32926829268293,16.1707317073171,39.1402714932127,17.1585365853659,21.3536585365854,80.3540833809252,11.3536585365854,29.8048780487805,41.1585365853659,22.0731707317073,13.7073170731707,7.21951219512195,5.07317073170732,5.07317073170732,21.5853658536585,3.76829268292683,-0.573170731707317,27.5851851851852,72.4148148148148,8.36585365853658,0,17.8170731707317,1999
"7","Denver Nuggets",82,35,47,42.6829268292683,3971,98.9634146341463,37.280487804878,84.280487804878,44.2338301258863,5.73170731707317,17.0365853658537,33.6435218324982,18.6707317073171,25.8048780487805,72.3534971644612,13.0853658536585,31.5853658536585,44.6707317073171,23.3048780487805,15.6219512195122,6.75609756097561,7.53658536585366,5.63414634146341,23.9268292682927,2.46341463414634,-2.1219512195122,29.2929292929293,70.7070707070707,7.68292682926829,1.90243902439024,21.4634146341463,1999
"8","Detroit Pistons",85,42,43,49.4117647058824,4110,102.611764705882,36.8,80.5058823529412,45.7109454917434,5.31764705882353,14.8,35.9300476947536,23.6941176470588,30.4352941176471,77.8507924236567,11,29.9176470588235,40.9176470588235,20.6,15.7529411764706,8.03529411764706,3.27058823529412,4.91764705882353,24.5294117647059,3.55294117647059,1.02352941176471,26.8832662449684,73.1167337550316,4.84705882352941,-1.64705882352941,20.9764705882353,1999
"9","Golden State Warriors",82,19,63,23.1707317073171,3951,95.5365853658537,36.5365853658537,87.0731707317073,41.9607843137255,4.20731707317073,13.0365853658537,32.2731524789523,18.2560975609756,26.1829268292683,69.7251979506288,15.8536585365854,29.7317073170732,45.5853658536585,22.5731707317073,15.8780487804878,8.91463414634146,4.34146341463415,6.03658536585366,24.9146341463415,1.95121951219512,-8.26829268292683,34.7779561262707,65.2220438737293,6.69512195121951,-1.69512195121951,22.9634146341463,1999
"10","Houston Rockets",82,34,48,41.4634146341463,3966,99.4634146341463,36.5975609756098,81.2682926829268,45.0330132052821,7.08536585365854,19.8170731707317,35.7538461538462,19.1829268292683,26.1585365853659,73.3333333333333,12.2926829268293,31.5365853658537,43.8292682926829,21.6341463414634,17.3780487804878,7.47560975609756,5.34146341463415,5.28048780487805,20.280487804878,1.80487804878049,-0.865853658536585,28.0467445742905,71.9532554257095,4.25609756097561,0.0609756097560976,18.4756097560976,1999
"11","Indiana Pacers",105,69,36,65.7142857142857,5055,100.590476190476,36.6761904761905,80.5142857142857,45.5524012301869,7.11428571428571,18.2857142857143,38.90625,20.1238095238095,24.6952380952381,81.4886232163517,10.2285714285714,31.5428571428571,41.7714285714286,22.1428571428571,13.5809523809524,6.51428571428571,5.03809523809524,4.04761904761905,22.1333333333333,2.19047619047619,4.17142857142857,24.4870041039672,75.5129958960328,8.56190476190476,0.99047619047619,19.9428571428571,1999
"12","Los Angeles Clippers",82,15,67,18.2926829268293,3940,92.0243902439024,35.0853658536585,82.4024390243902,42.5780671895812,5.23170731707317,15.4512195121951,33.8595106550908,16.6219512195122,22.2682926829268,74.644030668127,11.6463414634146,28.9878048780488,40.6341463414634,18.0365853658537,16.1585365853659,7.04878048780488,6.02439024390244,4.59756097560976,22.2073170731707,2,-11.5243902439024,28.6614645858343,71.3385354141657,1.8780487804878,1.42682926829268,20.2073170731707,1999
"13","Los Angeles Lakers",105,82,23,78.0952380952381,5070,100.590476190476,38.0571428571429,82.7142857142857,46.0103626943005,4.45714285714286,13.352380952381,33.3808844507846,20.0190476190476,29.4857142857143,67.8940568475452,13.5333333333333,32.6761904761905,46.2095238095238,23.0761904761905,13.5428571428571,7.27619047619048,6.41904761904762,4.1047619047619,23.0666666666667,2.42857142857143,7.19047619047619,29.2868920032976,70.7131079967024,9.53333333333333,2.31428571428571,20.6380952380952,1999
"14","Miami Heat",92,58,34,63.0434782608696,4451,93.1630434782609,35.6847826086956,78.25,45.6035560494513,5.35869565217391,14.6847826086957,36.4914877868246,16.4347826086957,22.4891304347826,73.0787820202997,11.1521739130435,32.0434782608696,43.195652173913,23.0652173913043,14.8913043478261,7.10869565217391,6.25,4.31521739130435,23.9891304347826,2.08695652173913,3.04347826086957,25.8178158027177,74.1821841972823,8.17391304347826,1.93478260869565,21.9021739130435,1999
"15","Milwaukee Bucks",87,44,43,50.5747126436782,4211,100.919540229885,38.6551724137931,83.2183908045977,46.4502762430939,4.73563218390805,12.9540229885057,36.5572315882875,18.8735632183908,24.0459770114943,78.4894837476099,12.3333333333333,29.0804597701149,41.4137931034483,22.4712643678161,14.816091954023,8.09195402298851,4.70114942528736,4.10344827586207,24.6551724137931,2.24137931034483,0.310344827586207,29.7807382736608,70.2192617263392,7.6551724137931,0.597701149425287,22.4137931034483,1999
"16","Minnesota Timberwolves",86,51,35,59.3023255813954,4173,97.906976744186,39.1046511627907,83.906976744186,46.6047671840355,3.02325581395349,8.77906976744186,34.4370860927152,16.6744186046512,21.3837209302326,77.9771615008157,12.2906976744186,29.8837209302326,42.1744186046512,26.7325581395349,13.7906976744186,7.51162790697674,5.34883720930233,4.17441860465116,23.3488372093023,2.27906976744186,2.31395348837209,29.1425420457679,70.8574579542321,12.9418604651163,1.17441860465116,21.0697674418605,1999
