"","Team","GP","W","L","win%","MIN","PTS","FGM","FGA","FG%","x3","x3A","x3%","FTM","FTA","FT%","OREB","DREB","REB","AST","TOV","STL","BLK","BLKA","PF","PFD","plus.minus","OREB%","DREB%","AST-TOV","BLK-BLKA","PF-PFD","year"
"1","Atlanta Hawks",83,36,47,43.3734939759036,4019,118.301204819277,43.0120481927711,92.4698795180723,46.514657980456,13.6867469879518,37.6987951807229,36.3055289229786,18.5903614457831,23.3012048192771,79.7828335056877,12.433734939759,32.1084337349398,44.5421686746988,26.6265060240964,13.5060240963855,7.4578313253012,4.46987951807229,5.65060240963855,18.5301204819277,19.4457831325301,-2.33734939759036,27.9145252907763,72.0854747092237,13.1204819277108,-1.18072289156627,-0.91566265060241,2023
"2","Boston Celtics",101,80,21,79.2079207920792,4883,118.356435643564,43.049504950495,89,48.3702302814551,16.0990099009901,42.039603960396,38.2948657560057,16.1584158415842,20.009900990099,80.7521029193469,10.4950495049505,35.2178217821782,45.7128712871287,26.3267326732673,11.8514851485149,6.69306930693069,6.33663366336634,3.42574257425743,16.0792079207921,17.4059405940594,10.7227722772277,22.9586311457656,77.0413688542343,14.4752475247525,2.91089108910891,-1.32673267326733,2023
"3","Brooklyn Nets",82,32,50,39.0243902439024,3961,110.365853658537,40.6585365853659,89.109756097561,45.6274804981525,13.280487804878,36.7073170731707,36.1794019933555,15.7682926829268,20.8658536585366,75.5698421975453,11.4390243902439,32.6219512195122,44.0609756097561,25.6341463414634,13.1219512195122,6.78048780487805,5.17073170731707,4.98780487804878,18.4878048780488,18.2439024390244,-2.89024390243902,25.9618045945198,74.0381954054802,12.5121951219512,0.182926829268293,0.24390243902439,2023
"4","Charlotte Hornets",82,21,61,25.609756097561,3946,106.585365853659,40.0121951219512,86.9878048780488,45.9974765175943,12.0609756097561,34,35.4734576757532,14.5,18.4390243902439,78.6375661375661,9.32926829268293,30.9512195121951,40.280487804878,24.7926829268293,13.7682926829268,6.85365853658537,4.52439024390244,4.82926829268293,17.9512195121951,17.4634146341463,-10.2439024390244,23.1607629427793,76.8392370572207,11.0243902439024,-0.304878048780488,0.48780487804878,2023
"5","Chicago Bulls",84,40,44,47.6190476190476,4092,112.238095238095,42.1071428571429,89.5952380952381,46.9970768004252,11.4880952380952,32.1309523809524,35.7539829566506,16.5357142857143,20.9047619047619,79.1002277904328,11.1071428571429,32.6785714285714,43.7857142857143,25.0238095238095,12.2142857142857,7.80952380952381,4.85714285714286,4.9047619047619,18.8095238095238,18.6309523809524,-1.47619047619048,25.3670473083197,74.6329526916803,12.8095238095238,-0.0476190476190476,0.178571428571429,2023
"6","Cleveland Cavaliers",94,53,41,56.3829787234042,4537,110.776595744681,41.2127659574468,86.6914893617021,47.5395754080255,13.1063829787234,36.2765957446809,36.1290322580645,15.2446808510638,19.9468085106383,76.4266666666667,9.57446808510638,33.1382978723404,42.7127659574468,27.1702127659574,13.3829787234043,7.28723404255319,4.62765957446809,5,17.7978723404255,18.6808510638298,1.3936170212766,22.4159402241594,77.5840597758406,13.7872340425532,-0.372340425531915,-0.882978723404255,2023
"7","Dallas Mavericks",104,63,41,60.5769230769231,4997,115.336538461538,42.2115384615385,88.2596153846154,47.8265606275193,14.0288461538462,38.1730769230769,36.7506297229219,16.8846153846154,22.5096153846154,75.0106791969244,9.96153846153846,33.0096153846154,42.9711538461538,24.7211538461538,12.5288461538462,6.74038461538461,5.01923076923077,4.22115384615385,18.4326923076923,20.2019230769231,2.28846153846154,23.1819198925934,76.8180801074066,12.1923076923077,0.798076923076923,-1.76923076923077,2023
"8","Denver Nuggets",94,64,30,68.0851063829787,4517,113.234042553191,43.3723404255319,88.3085106382979,49.1145645103,11.531914893617,31.2659574468085,36.8832936372916,14.9574468085106,19.4468085106383,76.9146608315098,10.6382978723404,33.5425531914894,44.1808510638298,28.8723404255319,12.5531914893617,7.04255319148936,5.3936170212766,4.84042553191489,18.1382978723404,17.936170212766,4.31914893617021,24.0789790512882,75.9210209487118,16.3191489361702,0.553191489361702,0.202127659574468,2023
"9","Detroit Pistons",82,14,68,17.0731707317073,3951,109.878048780488,40.890243902439,88.2439024390244,46.3377556661139,11.0487804878049,31.7317073170732,34.8193697156034,17.0487804878049,21.7073170731707,78.5393258426966,10.5,32.8292682926829,43.3292682926829,25.4634146341463,15.219512195122,6.47560975609756,4.68292682926829,5.97560975609756,20.5853658536585,17.7682926829268,-9.10975609756098,24.2330424992964,75.7669575007036,10.2439024390244,-1.29268292682927,2.81707317073171,2023
"10","Golden State Warriors",83,46,37,55.421686746988,4014,117.481927710843,43.5542168674699,91.5060240963855,47.597103357472,14.710843373494,38.8313253012048,37.8839590443686,15.6626506024096,20.0843373493976,77.9844031193761,12.0963855421687,34.5542168674699,46.6506024096386,29.1686746987952,14.3373493975904,6.95180722891566,4.57831325301205,4.96385542168675,19.4578313253012,17.9277108433735,2.28915662650602,25.9297520661157,74.0702479338843,14.8313253012048,-0.385542168674699,1.53012048192771,2023
