"","Team","GP","W","L","win%","MIN","PTS","FGM","FGA","FG%","x3","x3A","x3%","FTM","FTA","FT%","OREB","DREB","REB","AST","TOV","STL","BLK","BLKA","PF","PFD","plus.minus","OREB%","DREB%","AST-TOV","BLK-BLKA","PF-PFD","year"
"1","Atlanta Hawks",89,44,45,49.438202247191,4307,118.224719101124,44.5730337078652,92.6741573033708,48.0965082444229,10.9662921348315,31.123595505618,35.2346570397112,18.1123595505618,22.2359550561798,81.455280444669,11.4044943820225,33.1460674157303,44.5505617977528,24.9662921348315,12.9101123595506,7.08988764044944,4.92134831460674,5.17977528089888,18.6516853932584,19.438202247191,0.0337078651685393,25.5989911727617,74.4010088272383,12.0561797752809,-0.258426966292135,-0.786516853932584,2022
"2","Boston Celtics",102,68,34,66.6666666666667,4961,116.764705882353,41.9313725490196,88.1176470588235,47.5856697819315,15.6470588235294,41.8137254901961,37.4208675263775,17.2549019607843,21.2647058823529,81.1433840479484,9.65686274509804,35.2254901960784,44.8823529411765,26.1666666666667,13.1666666666667,6.2843137254902,5.46078431372549,4.02941176470588,18.4803921568627,18.843137254902,5.90196078431373,21.5159458278724,78.4840541721276,13,1.43137254901961,-0.362745098039216,2022
"3","Brooklyn Nets",86,45,41,52.3255813953488,4138,112.383720930233,41.1046511627907,84.7325581395349,48.5110470701249,12.7093023255814,33.8255813953488,37.5730491577862,17.4651162790698,21.906976744186,79.723991507431,8.1046511627907,32.1511627906977,40.2558139534884,25.3720930232558,13.6744186046512,7.04651162790698,6.05813953488372,3.87209302325581,20.8372093023256,18.5116279069767,0.290697674418605,20.1328711727325,79.8671288272675,11.6976744186047,2.18604651162791,2.32558139534884,2022
"4","Charlotte Hornets",82,27,55,32.9268292682927,3966,110.951219512195,41.280487804878,90.4024390243902,45.6630244165655,10.7439024390244,32.5487804878049,33.0086174597227,17.6463414634146,23.5609756097561,74.8964803312629,10.9878048780488,33.5487804878049,44.5365853658537,25.1463414634146,14.1951219512195,7.73170731707317,5.18292682926829,5.74390243902439,20.2560975609756,20.3292682926829,-6.24390243902439,24.671412924425,75.328587075575,10.9512195121951,-0.560975609756098,-0.0731707317073171,2022
"5","Chicago Bulls",84,41,43,48.8095238095238,4077,112.809523809524,42.452380952381,86.7142857142857,48.9566172432729,10.3452380952381,28.8214285714286,35.8942585708385,17.5595238095238,21.7261904761905,80.8219178082192,8.41666666666667,33.797619047619,42.2142857142857,24.4047619047619,13.3214285714286,7.83333333333333,4.57142857142857,4.71428571428571,19.0238095238095,18.75,1.17857142857143,19.9379582628314,80.0620417371686,11.0833333333333,-0.142857142857143,0.273809523809524,2022
"6","Cleveland Cavaliers",87,52,35,59.7701149425287,4216,111.218390804598,41.1954022988506,84.7816091954023,48.590021691974,11.4942528735632,31.5172413793103,36.4697301239971,17.3333333333333,22.264367816092,77.8523489932886,9.66666666666667,31.1954022988506,40.8620689655172,24.7701149425287,13.4827586206897,7.1264367816092,4.64367816091954,4.40229885057471,19.1034482758621,20.2528735632184,4.75862068965517,23.6568213783404,76.3431786216596,11.2873563218391,0.241379310344828,-1.14942528735632,2022
"7","Dallas Mavericks",82,38,44,46.3414634146341,3986,114.219512195122,40.0365853658537,84.2560975609756,47.5177304964539,15.1951219512195,41,37.0612730517549,18.9512195121951,25.0853658536585,75.5469129800681,7.6219512195122,31.1707317073171,38.7926829268293,22.9268292682927,12.219512195122,6.26829268292683,3.70731707317073,3.80487804878049,20.6951219512195,21.8170731707317,0.0731707317073171,19.6479094624332,80.3520905375668,10.7073170731707,-0.0975609756097561,-1.1219512195122,2022
"8","Denver Nuggets",102,69,33,67.6470588235294,4916,115.333333333333,43.3235294117647,86.343137254902,50.1759963665266,11.7058823529412,30.9705882352941,37.7967711301045,16.9803921568627,22.3137254901961,76.0984182776801,10.0882352941176,33.2647058823529,43.3529411764706,28.2647058823529,13.9607843137255,7.40196078431373,4.43137254901961,4.2843137254902,18.7254901960784,19.8137254901961,4.30392156862745,23.270013568521,76.729986431479,14.3039215686275,0.147058823529412,-1.08823529411765,2022
"9","Detroit Pistons",82,17,65,20.7317073170732,3961,110.30487804878,39.5609756097561,87.0731707317073,45.4341736694678,11.390243902439,32.4268292682927,35.1259872132381,19.7926829268293,25.6829268292683,77.0655270655271,11.1707317073171,31.2682926829268,42.4390243902439,22.9756097560976,15.0853658536585,7,3.75609756097561,5.52439024390244,22.109756097561,20.9512195121951,-8.21951219512195,26.3218390804598,73.6781609195402,7.89024390243902,-1.76829268292683,1.15853658536585,2022
"10","Golden State Warriors",95,50,45,52.6315789473684,4590,118.136842105263,42.9789473684211,90.6315789473684,47.4216027874564,16.3263157894737,43.0842105263158,37.8939653066211,15.8526315789474,20.1157894736842,78.806907378336,10.8105263157895,34.1263157894737,44.9368421052632,29.6,16.0315789473684,7.17894736842105,4.0421052631579,4.06315789473684,21.6210526315789,18.578947368421,1.53684210526316,24.0571562426798,75.9428437573202,13.5684210526316,-0.0210526315789474,3.0421052631579,2022
